# i,E[eV]
1,-4.93706083e+00
2,-4.64035403e+00
3,-4.33978498e+00
4,-4.03473477e+00
5,-3.73117332e+00
6,-3.42428839e+00
7,-3.11870896e+00
8,-2.81402551e+00
9,-2.50682839e+00
10,-2.19974570e+00
11,-1.89155196e+00
12,-1.58469652e+00
13,-1.27823169e+00
14,-9.70154705e-01
15,-6.63352060e-01
16,-3.57796710e-01
17,-4.91112011e-02
18,2.48778800e-01
19,5.55276319e-01
20,8.64032961e-01
21,1.16925996e+00
22,1.47606432e+00
23,1.78454887e+00
24,2.08969978e+00
25,2.39366996e+00
26,2.70238267e+00
27,2.99939814e+00
