# i,K[cm^3/s]
1,3.29140652e-12
2,4.21613173e-12
3,5.63842280e-12
4,7.66442241e-12
5,1.05525335e-11
6,1.50588618e-11
7,2.06290298e-11
8,2.89371287e-11
9,4.17661187e-11
10,5.93747346e-11
11,8.70173688e-11
12,1.26591562e-10
13,1.86226399e-10
14,2.81740794e-10
15,4.42968544e-10
16,7.30078817e-10
17,1.68146848e-09
18,1.65586778e-09
19,1.65230371e-09
20,1.69491305e-09
21,1.72704887e-09
22,1.94584428e-09
23,2.03359057e-09
24,2.29689147e-09
25,2.45136916e-09
26,2.77446545e-09
27,3.50783741e-09
