# i,j,K[cm^3/s]
2,1,8.09123888e-12
3,1,5.44570096e-12
3,2,1.07315461e-11
4,1,4.01607557e-12
4,2,8.26726171e-12
4,3,1.25474494e-11
5,1,3.16343703e-12
5,2,6.48855352e-12
5,3,1.05725173e-11
5,4,1.39800875e-11
6,1,2.54932551e-12
6,2,5.44436216e-12
6,3,8.85370617e-12
6,4,1.21190091e-11
6,5,1.50983036e-11
7,1,2.12278153e-12
7,2,4.43540437e-12
7,3,7.31828487e-12
7,4,1.04100218e-11
7,5,1.34670996e-11
7,6,1.67730937e-11
8,1,1.73539531e-12
8,2,3.76373576e-12
8,3,6.30448200e-12
8,4,9.07421874e-12
8,5,1.21699070e-11
8,6,1.54931560e-11
8,7,1.79352950e-11
9,1,1.45848871e-12
9,2,3.19144475e-12
9,3,5.39533845e-12
9,4,7.95106494e-12
9,5,1.06714656e-11
9,6,1.40431119e-11
9,7,1.70315382e-11
9,8,2.00488048e-11
10,1,1.26756122e-12
10,2,2.77813256e-12
10,3,4.77127348e-12
10,4,7.00386080e-12
10,5,9.43422026e-12
10,6,1.26123787e-11
10,7,1.56307397e-11
10,8,1.91779154e-11
10,9,2.22815910e-11
11,1,1.13632683e-12
11,2,2.47105422e-12
11,3,4.18760153e-12
11,4,6.12144237e-12
11,5,8.43390418e-12
11,6,1.13545592e-11
11,7,1.42350805e-11
11,8,1.79224949e-11
11,9,2.16240303e-11
11,10,2.47952260e-11
12,1,9.71963302e-13
12,2,2.09299610e-12
12,3,3.60945982e-12
12,4,5.39072316e-12
12,5,7.56521552e-12
12,6,1.01712899e-11
12,7,1.30043709e-11
12,8,1.65644980e-11
12,9,2.02177618e-11
12,10,2.41325555e-11
12,11,2.78628037e-11
13,1,8.33215435e-13
13,2,1.86059507e-12
13,3,3.23343042e-12
13,4,4.80525483e-12
13,5,6.64637272e-12
13,6,9.08181700e-12
13,7,1.16925499e-11
13,8,1.51147143e-11
13,9,1.87783153e-11
13,10,2.30007453e-11
13,11,2.73858407e-11
13,12,3.07223790e-11
14,1,7.32555708e-13
14,2,1.56611372e-12
14,3,2.73474006e-12
14,4,4.16997142e-12
14,5,5.83785478e-12
14,6,8.12855504e-12
14,7,1.05648390e-11
14,8,1.36787220e-11
14,9,1.72662649e-11
14,10,2.11970956e-11
14,11,2.57845771e-11
14,12,3.01279320e-11
14,13,3.47396731e-11
15,1,6.15053152e-13
15,2,1.39596093e-12
15,3,2.38059025e-12
15,4,3.58208496e-12
15,5,5.07179519e-12
15,6,7.06515705e-12
15,7,9.19529880e-12
15,8,1.21686029e-11
15,9,1.55244792e-11
15,10,1.94727015e-11
15,11,2.41844996e-11
15,12,2.88356694e-11
15,13,3.43511541e-11
15,14,3.95415938e-11
16,1,5.22456064e-13
16,2,1.17350825e-12
16,3,2.04457680e-12
16,4,3.09308487e-12
16,5,4.40023659e-12
16,6,6.20740725e-12
16,7,8.12344418e-12
16,8,1.07304328e-11
16,9,1.38095479e-11
16,10,1.73994923e-11
16,11,2.17522399e-11
16,12,2.63174464e-11
16,13,3.19496341e-11
16,14,3.80331866e-11
16,15,4.47402422e-11
17,1,4.13019896e-13
17,2,9.26601673e-13
17,3,1.65194673e-12
17,4,2.48117348e-12
17,5,3.55371334e-12
17,6,4.98596499e-12
17,7,6.59411453e-12
17,8,8.80979832e-12
17,9,1.14300424e-11
17,10,1.45852038e-11
17,11,1.85158235e-11
17,12,2.25801798e-11
17,13,2.80164304e-11
17,14,3.39162514e-11
17,15,4.11874414e-11
17,16,5.04030552e-11
18,1,3.71364142e-13
18,2,8.69870560e-13
18,3,1.57821154e-12
18,4,2.42732245e-12
18,5,3.53302613e-12
18,6,5.02208639e-12
18,7,6.71380349e-12
18,8,8.96212154e-12
18,9,1.16361303e-11
18,10,1.48054319e-11
18,11,1.88128900e-11
18,12,2.30037532e-11
18,13,2.84946170e-11
18,14,3.43666376e-11
18,15,4.12578676e-11
18,16,4.99633331e-11
18,17,6.13354634e-11
19,1,3.11401601e-13
19,2,7.69741191e-13
19,3,1.45768579e-12
19,4,2.30886375e-12
19,5,3.36290765e-12
19,6,4.90717646e-12
19,7,6.64129389e-12
19,8,8.92924027e-12
19,9,1.17240958e-11
19,10,1.50375997e-11
19,11,1.90453354e-11
19,12,2.32233992e-11
19,13,2.86290357e-11
19,14,3.44349281e-11
19,15,4.10952417e-11
19,16,4.82603097e-11
19,17,5.74725203e-11
19,18,3.97554832e-11
20,1,2.52613657e-13
20,2,6.62656970e-13
20,3,1.30128445e-12
20,4,2.17679862e-12
20,5,3.28032262e-12
20,6,4.83272068e-12
20,7,6.61662908e-12
20,8,8.96689660e-12
20,9,1.17530092e-11
20,10,1.49795487e-11
20,11,1.89354288e-11
20,12,2.32023192e-11
20,13,2.82759770e-11
20,14,3.38975174e-11
20,15,4.00491807e-11
20,16,4.64896581e-11
20,17,5.42063810e-11
20,18,3.83003531e-11
20,19,2.68109345e-11
21,1,1.79726124e-13
21,2,5.69862790e-13
21,3,1.18704343e-12
21,4,1.99422633e-12
21,5,3.12570218e-12
21,6,4.62481465e-12
21,7,6.27099353e-12
21,8,8.68235521e-12
21,9,1.14291268e-11
21,10,1.47367597e-11
21,11,1.87086540e-11
21,12,2.29745683e-11
21,13,2.81260761e-11
21,14,3.35067378e-11
21,15,3.98486473e-11
21,16,4.57678304e-11
21,17,5.22720827e-11
21,18,3.72958138e-11
21,19,2.70894730e-11
21,20,1.82494489e-11
22,1,1.16799666e-13
22,2,3.93274226e-13
22,3,9.44043797e-13
22,4,1.72314006e-12
22,5,2.78873920e-12
22,6,4.29286114e-12
22,7,6.03321908e-12
22,8,8.42064946e-12
22,9,1.12586182e-11
22,10,1.45275183e-11
22,11,1.83224461e-11
22,12,2.25512934e-11
22,13,2.74605849e-11
22,14,3.29024201e-11
22,15,3.91945810e-11
22,16,4.50061581e-11
22,17,5.14152583e-11
22,18,3.74878982e-11
22,19,2.80595641e-11
22,20,1.89563786e-11
22,21,1.32527820e-11
23,1,7.80955224e-14
23,2,2.80738804e-13
23,3,7.23934798e-13
23,4,1.45511835e-12
23,5,2.50036260e-12
23,6,3.90961860e-12
23,7,5.60502805e-12
23,8,7.95084218e-12
23,9,1.06681994e-11
23,10,1.39115944e-11
23,11,1.80569265e-11
23,12,2.23003178e-11
23,13,2.75881597e-11
23,14,3.31721521e-11
23,15,3.90983852e-11
23,16,4.47667661e-11
23,17,5.07133804e-11
23,18,3.73012665e-11
23,19,2.76099117e-11
23,20,1.92259463e-11
23,21,1.38279334e-11
23,22,9.89689141e-12
24,1,6.23801364e-14
24,2,1.78586434e-13
24,3,4.78010381e-13
24,4,1.07255486e-12
24,5,1.98161571e-12
24,6,3.28464825e-12
24,7,4.91281205e-12
24,8,7.41500147e-12
24,9,1.00363335e-11
24,10,1.33495373e-11
24,11,1.74674871e-11
24,12,2.21942967e-11
24,13,2.74012747e-11
24,14,3.33889138e-11
24,15,3.98718109e-11
24,16,4.57046785e-11
24,17,5.16251019e-11
24,18,3.78189687e-11
24,19,2.90917148e-11
24,20,2.04012828e-11
24,21,1.45585648e-11
24,22,1.04472347e-11
24,23,7.38514678e-12
25,1,4.43446802e-14
25,2,1.22086044e-13
25,3,3.11639508e-13
25,4,7.15865480e-13
