# i,j,K[cm^3/s]
2,1,2.00314238e-11
3,1,1.23366179e-11
3,2,3.82917485e-11
4,1,8.16038166e-12
4,2,2.78187142e-11
4,3,5.65326029e-11
5,1,5.51813206e-12
5,2,1.97960666e-11
5,3,4.40434064e-11
5,4,7.93949630e-11
6,1,3.61076687e-12
6,2,1.34026752e-11
6,3,3.13119630e-11
6,4,6.16343566e-11
6,5,1.07648395e-10
7,1,2.69132471e-12
7,2,1.18568941e-11
7,3,2.95490252e-11
7,4,5.94171624e-11
7,5,1.02896806e-10
7,6,1.41160994e-10
8,1,1.61681641e-12
8,2,9.37469464e-12
8,3,2.72389884e-11
8,4,5.81518000e-11
8,5,1.02132932e-10
8,6,1.35550503e-10
8,7,6.97222890e-11
9,1,5.64485232e-13
9,2,5.17066912e-12
9,3,2.21248179e-11
9,4,5.67217481e-11
9,5,1.07325352e-10
9,6,1.41229765e-10
9,7,7.44508160e-11
9,8,3.33691640e-11
