# i,E[eV]
1,-4.55668340e+00
2,-3.71498887e+00
3,-2.81436707e+00
4,-1.90173388e+00
5,-9.80828838e-01
6,-7.99408710e-02
7,7.92387255e-01
8,1.70324281e+00
9,2.58381628e+00
