# i,j,K[cm^3/s]
2,1,1.62670464e-10
3,1,2.40008456e-11
3,2,2.04906125e-10
4,1,8.19717574e-12
4,2,3.56359340e-11
4,3,2.03647979e-10
5,1,3.79967622e-12
5,2,1.31546864e-11
5,3,3.57249290e-11
5,4,1.84905476e-10
6,1,1.85987678e-12
6,2,6.10365357e-12
6,3,1.34410571e-11
6,4,3.14610978e-11
6,5,1.58933239e-10
7,1,7.74549733e-13
7,2,2.70972844e-12
7,3,5.92305846e-12
7,4,1.28666062e-11
7,5,3.09314306e-11
7,6,1.82327309e-10
8,1,2.37982989e-13
8,2,9.85760764e-13
8,3,2.49673094e-12
8,4,5.29898015e-12
8,5,1.11224484e-11
8,6,2.77878822e-11
8,7,1.72882358e-10
9,1,2.01632517e-14
9,2,2.44595338e-13
9,3,9.00920920e-13
9,4,2.38758119e-12
9,5,4.96906014e-12
9,6,9.33250006e-12
9,7,1.73485967e-11
9,8,1.66725469e-10
