# i,K[cm^3/s]
1,2.71531097e-11
2,5.15577713e-11
3,1.13437300e-10
4,2.59765066e-10
5,6.35034162e-10
6,1.97645825e-09
7,2.39150544e-09
8,2.82720080e-09
9,3.60769988e-09
