# i,K[cm^3/s]
1,5.19489520e-13
2,1.59582537e-12
3,5.90262568e-12
4,2.51203180e-11
5,1.24529388e-10
6,8.75209522e-10
7,1.20819925e-09
8,1.51199796e-09
9,2.04506885e-09
