# i,j,K[cm^3/s]
2,1,1.40362976e-10
3,1,1.64599907e-11
3,2,1.73786822e-10
4,1,4.95752883e-12
4,2,2.42365945e-11
4,3,1.75254642e-10
5,1,2.27417650e-12
5,2,8.37182982e-12
5,3,2.44700733e-11
5,4,1.60851994e-10
6,1,1.13672252e-12
6,2,3.75924987e-12
6,3,8.65967008e-12
6,4,2.11013642e-11
6,5,1.32297798e-10
7,1,4.44965240e-13
7,2,1.52944423e-12
7,3,3.62794764e-12
7,4,7.83080977e-12
7,5,1.97628299e-11
7,6,1.44495284e-10
8,1,1.21280699e-13
8,2,5.40330975e-13
8,3,1.35077686e-12
8,4,2.92790596e-12
8,5,6.28659975e-12
8,6,1.68521557e-11
8,7,1.35784260e-10
9,1,8.01798860e-15
9,2,1.00830724e-13
9,3,3.85837396e-13
9,4,1.05173156e-12
9,5,2.35186367e-12
9,6,5.00615054e-12
9,7,9.51575409e-12
9,8,1.25432407e-10
