# i,j,K[cm^3/s]
2,1,2.01899972e-11
3,1,1.13750702e-11
3,2,3.41013984e-11
4,1,7.17912804e-12
4,2,2.40947384e-11
4,3,4.90497988e-11
5,1,4.63685855e-12
5,2,1.65441140e-11
5,3,3.80916878e-11
5,4,7.18710138e-11
6,1,2.81239042e-12
6,2,1.06771385e-11
6,3,2.65873511e-11
6,4,5.62430144e-11
6,5,1.04741663e-10
7,1,1.95765510e-12
7,2,8.90454939e-12
7,3,2.44134884e-11
7,4,5.33699813e-11
7,5,9.95345058e-11
7,6,1.36961504e-10
8,1,9.69069301e-13
8,2,6.64798177e-12
8,3,2.14791665e-11
8,4,5.02458843e-11
8,5,9.52015746e-11
8,6,1.27410162e-10
8,7,5.02870665e-11
9,1,2.79391282e-13
9,2,3.24889816e-12
9,3,1.63923058e-11
9,4,4.78361011e-11
9,5,9.96266221e-11
9,6,1.33036382e-10
9,7,6.01610634e-11
9,8,1.92831187e-11
