description,reactStr,reacIndex,A,beta,Ta
MicroReversibleArrhenius,O2(1)+O=3O,2,3.176084e-11,-9.431689e-01,8.487039e+04
MicroReversibleArrhenius,O2(2)+O=3O,2,2.488654e-20,1.124443e+00,4.077621e+04
MicroReversibleArrhenius,O2(3)+O=3O,2,7.265263e-16,1.711144e-01,1.796107e+04
MicroReversibleArrhenius,O2(2)+O=O2(1)+O,5,1.073031e-17,1.474194e-01,4.390569e+02
MicroReversibleArrhenius,O2(3)+O=O2(1)+O,5,1.190982e-18,2.759743e-01,-8.660664e+01
MicroReversibleArrhenius,O2(3)+O=O2(2)+O,5,1.525106e-17,2.047857e-01,3.066457e+02
MicroReversibleArrhenius,O2(2)+O=O2(1)+O,6,7.266921e-17,5.041776e-02,-3.676882e+02
MicroReversibleArrhenius,O2(3)+O=O2(1)+O,6,2.112390e-19,3.834806e-01,-9.427741e+02
MicroReversibleArrhenius,O2(3)+O=O2(2)+O,6,1.859964e-16,-5.652541e-02,-3.167173e+02
