# i,j,K[cm^3/s]
2,1,8.51328365e-12
3,1,5.59400734e-12
3,2,1.04678631e-11
4,1,4.19497246e-12
4,2,8.19424302e-12
4,3,1.20806680e-11
5,1,3.32779013e-12
5,2,6.50266982e-12
5,3,1.00576523e-11
5,4,1.29890577e-11
6,1,2.61938862e-12
6,2,5.27678157e-12
6,3,8.23183770e-12
6,4,1.14228477e-11
6,5,1.41818022e-11
7,1,2.06793789e-12
7,2,4.35191334e-12
7,3,7.05708972e-12
7,4,9.84691093e-12
7,5,1.29089242e-11
7,6,1.57701184e-11
8,1,1.71606440e-12
8,2,3.59534068e-12
8,3,6.09481069e-12
8,4,8.63812548e-12
8,5,1.15299749e-11
8,6,1.45017925e-11
8,7,1.66551035e-11
9,1,1.47646451e-12
9,2,3.10223558e-12
9,3,5.32625289e-12
9,4,7.55061672e-12
9,5,1.00237803e-11
9,6,1.28552683e-11
9,7,1.56574411e-11
9,8,1.84385434e-11
10,1,1.23456730e-12
10,2,2.67875393e-12
10,3,4.57085773e-12
10,4,6.58310245e-12
10,5,9.00328625e-12
10,6,1.18425319e-11
10,7,1.45276416e-11
10,8,1.77242561e-11
10,9,2.04738475e-11
11,1,1.03782476e-12
11,2,2.28526114e-12
11,3,3.90866741e-12
11,4,5.80513328e-12
11,5,7.92758625e-12
11,6,1.07422232e-11
11,7,1.35639129e-11
11,8,1.69609239e-11
11,9,2.03386256e-11
11,10,2.29436284e-11
12,1,8.58775071e-13
12,2,1.92126049e-12
12,3,3.34776944e-12
12,4,5.04042902e-12
12,5,7.16355878e-12
12,6,9.86044706e-12
12,7,1.24028890e-11
12,8,1.57005999e-11
12,9,1.91998066e-11
12,10,2.27485812e-11
12,11,2.62887789e-11
13,1,7.77889323e-13
13,2,1.70312240e-12
13,3,2.99683764e-12
13,4,4.51697489e-12
13,5,6.39053406e-12
13,6,8.73584007e-12
13,7,1.12034950e-11
13,8,1.44391611e-11
13,9,1.79276033e-11
13,10,2.20424296e-11
13,11,2.61182379e-11
13,12,2.91851457e-11
14,1,6.84246617e-13
14,2,1.50238494e-12
14,3,2.66800511e-12
14,4,3.89742841e-12
14,5,5.56365327e-12
14,6,7.69617406e-12
14,7,9.89622143e-12
14,8,1.29894436e-11
14,9,1.64916018e-11
14,10,2.04240208e-11
14,11,2.49237628e-11
14,12,2.90905593e-11
14,13,3.33000735e-11
15,1,5.68272080e-13
15,2,1.27137154e-12
15,3,2.22673325e-12
15,4,3.41647473e-12
15,5,4.73918314e-12
15,6,6.64251658e-12
15,7,8.75285269e-12
15,8,1.16136494e-11
15,9,1.48614845e-11
15,10,1.86391913e-11
15,11,2.33186509e-11
15,12,2.81278576e-11
15,13,3.34408501e-11
15,14,3.85230781e-11
16,1,4.87544356e-13
16,2,1.07146144e-12
16,3,1.93846450e-12
16,4,2.92954487e-12
16,5,4.22929455e-12
16,6,5.92654522e-12
16,7,7.73864151e-12
16,8,1.02072062e-11
16,9,1.30351930e-11
16,10,1.66573520e-11
16,11,2.10209946e-11
16,12,2.56222572e-11
16,13,3.11161649e-11
16,14,3.74837451e-11
16,15,4.44530580e-11
17,1,3.78349447e-13
17,2,8.40424961e-13
17,3,1.51628291e-12
17,4,2.32919210e-12
17,5,3.38997334e-12
17,6,4.82881294e-12
17,7,6.30098408e-12
17,8,8.45071569e-12
17,9,1.09960856e-11
17,10,1.41194915e-11
17,11,1.78754530e-11
17,12,2.20523198e-11
17,13,2.72721688e-11
17,14,3.34125788e-11
17,15,4.13787699e-11
17,16,5.09044893e-11
18,1,3.33044512e-13
18,2,7.98443196e-13
18,3,1.47410124e-12
18,4,2.31190199e-12
18,5,3.34491544e-12
18,6,4.79097278e-12
18,7,6.33944834e-12
18,8,8.56769070e-12
18,9,1.12609204e-11
18,10,1.44883743e-11
18,11,1.82919126e-11
18,12,2.25242631e-11
18,13,2.76442006e-11
18,14,3.39130563e-11
18,15,4.11477817e-11
18,16,5.00196996e-11
18,17,6.18043157e-11
19,1,2.94557351e-13
19,2,7.28804200e-13
19,3,1.37835940e-12
19,4,2.19996962e-12
19,5,3.31185829e-12
19,6,4.73667440e-12
19,7,6.40519169e-12
19,8,8.84185862e-12
19,9,1.14776450e-11
19,10,1.46335184e-11
19,11,1.84726173e-11
19,12,2.28523132e-11
19,13,2.78452778e-11
19,14,3.39919342e-11
19,15,4.06090044e-11
19,16,4.81955600e-11
19,17,5.68765984e-11
19,18,3.83458671e-11
20,1,2.39533339e-13
20,2,6.20188193e-13
20,3,1.25415849e-12
20,4,2.02628636e-12
20,5,3.09319095e-12
20,6,4.61604725e-12
20,7,6.30512333e-12
20,8,8.68235801e-12
20,9,1.12677806e-11
20,10,1.44015785e-11
20,11,1.83814665e-11
20,12,2.24373484e-11
20,13,2.74906417e-11
20,14,3.31524130e-11
20,15,3.95022362e-11
20,16,4.62737817e-11
20,17,5.37406298e-11
20,18,3.67957217e-11
20,19,2.55102318e-11
21,1,1.64138838e-13
21,2,4.81889485e-13
21,3,1.04137378e-12
21,4,1.78465933e-12
21,5,2.87211693e-12
21,6,4.32063579e-12
21,7,6.08489839e-12
21,8,8.54013799e-12
21,9,1.13504995e-11
21,10,1.46010450e-11
21,11,1.82302618e-11
