# i,E[eV]
1,-4.94020726e+00
2,-4.64325715e+00
3,-4.34287809e+00
4,-4.03768727e+00
5,-3.73416470e+00
6,-3.42741143e+00
7,-3.12165682e+00
8,-2.81709739e+00
9,-2.50985837e+00
10,-2.20280085e+00
11,-1.89463204e+00
12,-1.58769460e+00
13,-1.28128087e+00
14,-9.73215065e-01
15,-6.66343174e-01
16,-3.60802599e-01
17,-5.20883465e-02
18,2.45881890e-01
19,5.52159331e-01
20,8.61073964e-01
21,1.16625155e+00
22,1.47300004e+00
23,1.78140257e+00
24,2.08688604e+00
25,2.39055992e+00
26,2.69943680e+00
27,2.99676921e+00
