# i,K[cm^3/s]
1,1.42917663e-12
2,1.56801545e-12
3,2.54984891e-12
4,3.25066430e-12
5,4.27656994e-12
6,6.63331416e-12
7,1.00737606e-11
8,1.49421434e-11
9,2.24608818e-11
10,3.51506586e-11
11,5.24557495e-11
12,7.93417635e-11
13,1.23031487e-10
14,1.95707726e-10
15,3.28767873e-10
16,5.70981756e-10
17,1.45645105e-09
18,1.43394436e-09
19,1.43050197e-09
20,1.47097649e-09
21,1.49495202e-09
22,1.71192791e-09
23,1.78857624e-09
24,2.01054711e-09
25,2.17667624e-09
26,2.44293330e-09
27,3.12366923e-09
