# i,j,K[cm^3/s]
2,1,1.72447425e-10
3,1,4.11964475e-11
3,2,2.04148427e-10
4,1,1.53019194e-11
4,2,5.42617459e-11
4,3,2.10898463e-10
5,1,8.06669520e-12
5,2,2.49790079e-11
5,3,6.51931167e-11
5,4,2.19886993e-10
6,1,4.54745638e-12
6,2,1.31816557e-11
6,3,3.08635232e-11
6,4,6.87872769e-11
6,5,2.17560571e-10
7,1,2.76750532e-12
7,2,7.46179820e-12
7,3,1.60935407e-11
7,4,3.25467588e-11
7,5,7.04815165e-11
7,6,2.21030456e-10
8,1,1.92677881e-12
8,2,4.89941803e-12
8,3,1.00655102e-11
8,4,1.82020360e-11
8,5,3.44515602e-11
8,6,7.29068667e-11
8,7,2.16446351e-10
9,1,1.30802960e-12
9,2,3.18926180e-12
9,3,6.42272195e-12
9,4,1.10046883e-11
9,5,1.89631956e-11
9,6,3.52287433e-11
9,7,7.04480556e-11
9,8,2.17300740e-10
10,1,9.33322068e-13
10,2,2.28954111e-12
10,3,4.21438790e-12
10,4,6.97160320e-12
10,5,1.15136332e-11
10,6,2.00922173e-11
10,7,3.43174801e-11
10,8,7.12040082e-11
10,9,2.15232014e-10
11,1,7.50751036e-13
11,2,1.69883231e-12
11,3,3.07446288e-12
11,4,4.80622234e-12
11,5,7.46922635e-12
11,6,1.18439446e-11
11,7,1.90012968e-11
11,8,3.39077469e-11
11,9,6.83776099e-11
11,10,2.14302560e-10
12,1,5.86567324e-13
12,2,1.30254459e-12
12,3,2.28650940e-12
12,4,3.48088492e-12
12,5,5.21483409e-12
12,6,8.02528734e-12
12,7,1.17578004e-11
12,8,1.89404369e-11
12,9,3.26184037e-11
12,10,6.57967683e-11
12,11,2.13544385e-10
13,1,4.43927400e-13
13,2,1.02511781e-12
13,3,1.74956017e-12
13,4,2.55643030e-12
13,5,3.80559858e-12
13,6,5.56935299e-12
13,7,7.73099624e-12
13,8,1.16425311e-11
13,9,1.80826214e-11
13,10,3.11185459e-11
13,11,6.29400897e-11
13,12,2.07694841e-10
14,1,3.92669787e-13
14,2,8.26025083e-13
14,3,1.36299352e-12
14,4,2.02604562e-12
14,5,2.85897706e-12
14,6,4.14326007e-12
14,7,5.51547232e-12
14,8,7.87902792e-12
14,9,1.12402262e-11
14,10,1.73221093e-11
14,11,2.94532468e-11
14,12,5.83952827e-11
14,13,2.01494630e-10
15,1,3.08275267e-13
15,2,6.26096910e-13
15,3,1.08443709e-12
15,4,1.55898773e-12
15,5,2.21989836e-12
15,6,3.14904992e-12
15,7,4.05847079e-12
15,8,5.60341474e-12
15,9,7.49386753e-12
15,10,1.09131316e-11
15,11,1.65115288e-11
15,12,2.68862728e-11
15,13,5.40529171e-11
15,14,1.93742849e-10
16,1,2.37722545e-13
16,2,5.15580258e-13
16,3,9.00563171e-13
16,4,1.30009540e-12
16,5,1.78330768e-12
16,6,2.45512338e-12
16,7,3.13597714e-12
16,8,4.14158820e-12
16,9,5.44454251e-12
16,10,7.35680995e-12
16,11,1.02210238e-11
16,12,1.50445819e-11
16,13,2.50569115e-11
16,14,4.92107155e-11
16,15,1.81123357e-10
17,1,1.83675751e-13
17,2,4.06120234e-13
17,3,6.76809995e-13
17,4,9.75984078e-13
17,5,1.30066794e-12
17,6,1.78713153e-12
17,7,2.26006636e-12
17,8,2.97195376e-12
17,9,3.79960332e-12
17,10,4.85125850e-12
17,11,6.50067627e-12
17,12,8.84448735e-12
17,13,1.31276807e-11
17,14,2.15536561e-11
17,15,4.09848546e-11
17,16,1.58081262e-10
18,1,1.34155357e-13
18,2,2.80057834e-13
18,3,4.88932884e-13
18,4,7.13589904e-13
18,5,9.88918471e-13
18,6,1.29892101e-12
18,7,1.71077497e-12
18,8,2.25021457e-12
18,9,2.89034857e-12
18,10,3.79504396e-12
18,11,4.95066411e-12
18,12,6.56968060e-12
18,13,9.30025628e-12
18,14,1.37096933e-11
18,15,2.19453668e-11
18,16,4.31126462e-11
18,17,1.82484339e-10
19,1,8.64293691e-14
