# i,E[eV]
1,-4.61078389e+00
2,-3.77529690e+00
3,-2.87435428e+00
4,-1.96225554e+00
5,-1.04139297e+00
6,-1.34535252e-01
7,7.36547529e-01
8,1.64938341e+00
9,2.53636836e+00
