# i,K[cm^3/s]
1,5.42220157e-14
2,3.01693506e-13
3,1.56414669e-12
4,9.27422460e-12
5,6.35355547e-11
6,6.57259429e-10
7,9.72515031e-10
8,1.24626404e-09
9,1.70176718e-09
