# i,j,K[cm^3/s]
2,1,1.96613821e-11
3,1,1.07260960e-11
3,2,3.19183629e-11
4,1,6.64850727e-12
4,2,2.22749267e-11
4,3,4.52943447e-11
5,1,4.23696610e-12
5,2,1.51922096e-11
5,3,3.55017880e-11
5,4,6.74383937e-11
6,1,2.52351616e-12
6,2,9.73959492e-12
6,3,2.45961729e-11
6,4,5.31756793e-11
6,5,1.01139256e-10
7,1,1.72695973e-12
7,2,8.01993167e-12
7,3,2.24202703e-11
7,4,5.03098245e-11
7,5,9.57440279e-11
7,6,1.31435673e-10
8,1,8.44234302e-13
8,2,5.88877996e-12
8,3,1.94545804e-11
8,4,4.62691711e-11
8,5,9.03861844e-11
8,6,1.21356893e-10
8,7,4.33485893e-11
9,1,2.33707422e-13
9,2,2.73361604e-12
9,3,1.43455113e-11
9,4,4.40768747e-11
9,5,9.42396875e-11
9,6,1.27678873e-10
9,7,5.31282645e-11
9,8,1.55835390e-11
