# i,E[eV]
1,-4.99655060e+00
2,-4.69216961e+00
3,-4.39409620e+00
4,-4.08593087e+00
5,-3.78283942e+00
6,-3.47799375e+00
7,-3.16946079e+00
8,-2.86663509e+00
9,-2.55871654e+00
10,-2.25193947e+00
11,-1.94418602e+00
12,-1.63606660e+00
13,-1.33029497e+00
14,-1.02245710e+00
15,-7.14552120e-01
16,-4.09365516e-01
17,-1.01034002e-01
18,2.00487889e-01
19,5.03577609e-01
20,8.14646621e-01
21,1.11919173e+00
22,1.42546022e+00
23,1.73215270e+00
24,2.04273898e+00
25,2.34248145e+00
26,2.65409320e+00
27,2.95751136e+00
