# i,K[cm^3/s]
1,0.00000000e+00
2,0.00000000e+00
3,0.00000000e+00
4,0.00000000e+00
5,0.00000000e+00
6,0.00000000e+00
7,0.00000000e+00
8,0.00000000e+00
9,0.00000000e+00
10,0.00000000e+00
11,0.00000000e+00
12,0.00000000e+00
13,4.55269318e-16
14,5.61928907e-15
15,9.51284674e-14
16,1.96240319e-12
17,1.26877250e-10
18,2.12352026e-10
19,2.21276897e-10
20,2.34537221e-10
21,2.60250877e-10
22,3.81585381e-10
23,3.98108445e-10
24,5.19519556e-10
25,5.41178230e-10
26,6.57692478e-10
27,1.00112638e-09
