# i,j,K[cm^3/s]
2,1,4.50594685e-12
3,1,2.74457923e-12
3,2,4.43886739e-12
4,1,1.81849861e-12
4,2,3.55141757e-12
4,3,4.67249687e-12
5,1,1.24870364e-12
5,2,2.58389507e-12
5,3,3.95317754e-12
5,4,4.70015606e-12
6,1,9.33972749e-13
6,2,2.00376812e-12
6,3,3.16483885e-12
6,4,4.52852663e-12
6,5,4.75876933e-12
7,1,7.04547251e-13
7,2,1.56455638e-12
7,3,2.59644800e-12
7,4,3.80257896e-12
7,5,4.92006907e-12
7,6,5.19739857e-12
8,1,5.51266365e-13
8,2,1.26136114e-12
8,3,2.12160919e-12
8,4,3.08975238e-12
8,5,4.12623449e-12
8,6,5.28029250e-12
8,7,5.46581676e-12
9,1,4.50221168e-13
9,2,1.04294691e-12
9,3,1.82011772e-12
9,4,2.64687355e-12
9,5,3.61582978e-12
9,6,4.81837403e-12
9,7,5.94720188e-12
9,8,6.28281332e-12
10,1,3.79360479e-13
10,2,8.86038694e-13
10,3,1.54869230e-12
10,4,2.31395242e-12
10,5,3.20131297e-12
10,6,4.31130717e-12
10,7,5.47246573e-12
10,8,6.70046682e-12
10,9,7.07403007e-12
11,1,3.26753448e-13
11,2,7.58752025e-13
11,3,1.34551606e-12
11,4,2.02251657e-12
11,5,2.87443286e-12
11,6,3.90060272e-12
11,7,5.08203856e-12
11,8,6.60239592e-12
11,9,8.03854365e-12
11,10,8.20388861e-12
12,1,2.88984389e-13
12,2,6.35242453e-13
12,3,1.18709927e-12
12,4,1.80203611e-12
12,5,2.58671589e-12
12,6,3.56226197e-12
12,7,4.61107078e-12
12,8,6.20011120e-12
12,9,8.05927942e-12
12,10,9.46361780e-12
12,11,9.63039068e-12
13,1,2.33567085e-13
13,2,5.60557688e-13
13,3,1.03862027e-12
13,4,1.59050938e-12
13,5,2.32436398e-12
13,6,3.21934912e-12
13,7,4.21883703e-12
13,8,5.65768760e-12
13,9,7.58882150e-12
13,10,9.58858845e-12
13,11,1.13716417e-11
13,12,1.10905075e-11
14,1,2.03448079e-13
14,2,4.68250021e-13
14,3,8.72949160e-13
14,4,1.38011640e-12
14,5,2.04667431e-12
