  0.000000000000E+00  0.500000000000E-01  0.950000000000E+00  0.100000000001E-13  0.100000000001E-13  0.821356151791E+03  0.160017584915E+05  0.456848926071E-02  0.194821192446E+05  0.881830677258E+23  0.190360606300E+08  0.338484688933E+00
  0.100000000000E-13  0.500000000000E-01  0.949999999989E+00  0.955239272035E-11  0.100949206413E-11  0.821356151787E+03  0.160017584914E+05  0.456848926073E-02  0.194821192446E+05  0.881830677262E+23  0.190360606300E+08  0.338484688932E+00
  0.201000000000E-13  0.500000000000E-01  0.949999999979E+00  0.191902093674E-10  0.201897904901E-11  0.821356151783E+03  0.160017584914E+05  0.456848926076E-02  0.194821192446E+05  0.881830677266E+23  0.190360606300E+08  0.338484688931E+00
  0.303010000000E-13  0.500000000000E-01  0.949999999968E+00  0.289244041810E-10  0.303856090373E-11  0.821356151780E+03  0.160017584913E+05  0.456848926078E-02  0.194821192447E+05  0.881830677270E+23  0.190360606300E+08  0.338484688930E+00
  0.406040100000E-13  0.500000000000E-01  0.949999999957E+00  0.387559409416E-10  0.406833857724E-11  0.821356151776E+03  0.160017584912E+05  0.456848926080E-02  0.194821192447E+05  0.881830677275E+23  0.190360606300E+08  0.338484688929E+00
  0.510100501000E-13  0.500000000000E-01  0.949999999946E+00  0.486857930707E-10  0.510841402728E-11  0.821356151772E+03  0.160017584912E+05  0.456848926082E-02  0.194821192447E+05  0.881830677279E+23  0.190360606300E+08  0.338484688929E+00
  0.615201506010E-13  0.500000000000E-01  0.949999999935E+00  0.587149437209E-10  0.615889023188E-11  0.821356151768E+03  0.160017584911E+05  0.456848926084E-02  0.194821192447E+05  0.881830677283E+23  0.190360606300E+08  0.338484688928E+00
  0.721353521070E-13  0.500000000000E-01  0.949999999924E+00  0.688443858773E-10  0.721987119857E-11  0.821356151764E+03  0.160017584910E+05  0.456848926087E-02  0.194821192447E+05  0.881830677288E+23  0.190360606300E+08  0.338484688927E+00
  0.828567056281E-13  0.500000000000E-01  0.949999999913E+00  0.790751224551E-10  0.829146197499E-11  0.821356151759E+03  0.160017584910E+05  0.456848926089E-02  0.194821192447E+05  0.881830677292E+23  0.190360606300E+08  0.338484688926E+00
  0.936852726844E-13  0.500000000000E-01  0.949999999901E+00  0.894081663984E-10  0.937376865922E-11  0.821356151755E+03  0.160017584909E+05  0.456848926091E-02  0.194821192447E+05  0.881830677296E+23  0.190360606300E+08  0.338484688925E+00
  0.104622125411E-12  0.500000000000E-01  0.949999999890E+00  0.998445407808E-10  0.104668984104E-10  0.821356151751E+03  0.160017584908E+05  0.456848926093E-02  0.194821192448E+05  0.881830677301E+23  0.190360606300E+08  0.338484688924E+00
  0.115668346665E-12  0.500000000000E-01  0.949999999878E+00  0.110385278907E-09  0.115709594591E-10  0.821356151747E+03  0.160017584908E+05  0.456848926096E-02  0.194821192448E+05  0.881830677305E+23  0.190360606300E+08  0.338484688923E+00
  0.126825030132E-12  0.500000000000E-01  0.949999999866E+00  0.121031424414E-09  0.126860611183E-10  0.821356151743E+03  0.160017584907E+05  0.456848926098E-02  0.194821192448E+05  0.881830677310E+23  0.190360606300E+08  0.338484688922E+00
  0.138093280433E-12  0.500000000000E-01  0.949999999854E+00  0.131784031376E-09  0.138123137942E-10  0.821356151738E+03  0.160017584906E+05  0.456848926101E-02  0.194821192448E+05  0.881830677315E+23  0.190360606300E+08  0.338484688921E+00
  0.149474213238E-12  0.500000000000E-01  0.949999999842E+00  0.142644164407E-09  0.149498289969E-10  0.821356151734E+03  0.160017584906E+05  0.456848926103E-02  0.194821192448E+05  0.881830677319E+23  0.190360606300E+08  0.338484688920E+00
  0.160968955370E-12  0.500000000000E-01  0.949999999830E+00  0.153612898768E-09  0.160987193517E-10  0.821356151730E+03  0.160017584905E+05  0.456848926105E-02  0.194821192448E+05  0.881830677324E+23  0.190360606300E+08  0.338484688919E+00
  0.172578644924E-12  0.500000000000E-01  0.949999999818E+00  0.164691320472E-09  0.172590986102E-10  0.821356151725E+03  0.160017584904E+05  0.456848926108E-02  0.194821192449E+05  0.881830677329E+23  0.190360606300E+08  0.338484688918E+00
  0.184304431373E-12  0.500000000000E-01  0.949999999806E+00  0.175880526394E-09  0.184310816612E-10  0.821356151721E+03  0.160017584903E+05  0.456848926110E-02  0.194821192449E+05  0.881830677333E+23  0.190360606300E+08  0.338484688917E+00
  0.196147475687E-12  0.500000000000E-01  0.949999999793E+00  0.187181624374E-09  0.196147845429E-10  0.821356151716E+03  0.160017584903E+05  0.456848926113E-02  0.194821192449E+05  0.881830677338E+23  0.190360606300E+08  0.338484688916E+00
  0.208108950444E-12  0.500000000000E-01  0.949999999781E+00  0.198595733333E-09  0.208103244534E-10  0.821356151712E+03  0.160017584902E+05  0.456848926115E-02  0.194821192449E+05  0.881830677343E+23  0.190360606300E+08  0.338484688915E+00
  0.220190039948E-12  0.500000000000E-01  0.949999999768E+00  0.210123983382E-09  0.220178197631E-10  0.821356151707E+03  0.160017584901E+05  0.456848926118E-02  0.194821192449E+05  0.881830677348E+23  0.190360606300E+08  0.338484688914E+00
  0.232391940347E-12  0.500000000000E-01  0.949999999755E+00  0.221767515931E-09  0.232373900260E-10  0.821356151703E+03  0.160017584900E+05  0.456848926121E-02  0.194821192449E+05  0.881830677353E+23  0.190360606300E+08  0.338484688912E+00
  0.244715859751E-12  0.500000000000E-01  0.949999999742E+00  0.233527483805E-09  0.244691559915E-10  0.821356151698E+03  0.160017584900E+05  0.456848926123E-02  0.194821192450E+05  0.881830677358E+23  0.190360606300E+08  0.338484688911E+00
