#--------------------------#
# x [m]  X_O  X_O2_1  X_O2_2  X_O2_3  u [m/s]  Th [K]  rho [kg/m^3]  p [Pa]  nd [1/m^3]  H [J/kg]  Mf
  0.122909854781E-10  0.500000073411E-01  0.949999928472E+00  0.597114257277E-07  0.447553812532E-08  0.894512373507E+03  0.138338612277E+05  0.349571907352E-01  0.128877118691E+06  0.674759675199E+24  0.134601083637E+08  0.368889027176E+00
  0.124238953328E-10  0.500000074205E-01  0.949999927698E+00  0.603571213436E-07  0.452393471808E-08  0.894512373035E+03  0.138338612214E+05  0.349571907536E-01  0.128877118706E+06  0.674759675582E+24  0.134601083637E+08  0.368889027067E+00
  0.125581342862E-10  0.500000075007E-01  0.949999926917E+00  0.610092739155E-07  0.457281527681E-08  0.894512372559E+03  0.138338612151E+05  0.349571907722E-01  0.128877118721E+06  0.674759675969E+24  0.134601083637E+08  0.368889026957E+00
  0.126937156290E-10  0.500000075816E-01  0.949999926128E+00  0.616679480128E-07  0.462218464118E-08  0.894512372078E+03  0.138338612087E+05  0.349571907910E-01  0.128877118736E+06  0.674759676360E+24  0.134601083637E+08  0.368889026845E+00
  0.128306527853E-10  0.500000076634E-01  0.949999925331E+00  0.623332088507E-07  0.467204769924E-08  0.894512371592E+03  0.138338612022E+05  0.349571908100E-01  0.128877118751E+06  0.674759676755E+24  0.134601083637E+08  0.368889026733E+00
  0.129689593132E-10  0.500000077460E-01  0.949999924526E+00  0.630051222968E-07  0.472240938792E-08  0.894512371101E+03  0.138338611957E+05  0.349571908292E-01  0.128877118766E+06  0.674759677154E+24  0.134601083637E+08  0.368889026619E+00
  0.131086489063E-10  0.500000078295E-01  0.949999923714E+00  0.636837548770E-07  0.477327469354E-08  0.894512370606E+03  0.138338611891E+05  0.349571908485E-01  0.128877118782E+06  0.674759677556E+24  0.134601083637E+08  0.368889026504E+00
  0.132497353954E-10  0.500000079137E-01  0.949999922892E+00  0.643691737827E-07  0.482464865227E-08  0.894512370105E+03  0.138338611824E+05  0.349571908681E-01  0.128877118798E+06  0.674759677963E+24  0.134601083637E+08  0.368889026389E+00
  0.133922327493E-10  0.500000079988E-01  0.949999922063E+00  0.650614468772E-07  0.487653635064E-08  0.894512369600E+03  0.138338611757E+05  0.349571908879E-01  0.128877118813E+06  0.674759678374E+24  0.134601083637E+08  0.368889026271E+00
  0.135361550768E-10  0.500000080848E-01  0.949999921226E+00  0.657606427023E-07  0.492894292604E-08  0.894512369089E+03  0.138338611689E+05  0.349571909078E-01  0.128877118829E+06  0.674759678789E+24  0.134601083637E+08  0.368889026153E+00
  0.136815166276E-10  0.500000081716E-01  0.949999920380E+00  0.664668304854E-07  0.498187356724E-08  0.894512368573E+03  0.138338611620E+05  0.349571909280E-01  0.128877118845E+06  0.674759679208E+24  0.134601083637E+08  0.368889026034E+00
  0.138283317939E-10  0.500000082593E-01  0.949999919525E+00  0.671800801459E-07  0.503533351492E-08  0.894512368052E+03  0.138338611551E+05  0.349571909483E-01  0.128877118862E+06  0.674759679631E+24  0.134601083637E+08  0.368889025913E+00
  0.139766151118E-10  0.500000083479E-01  0.949999918662E+00  0.679004623028E-07  0.508932806212E-08  0.894512367526E+03  0.138338611481E+05  0.349571909689E-01  0.128877118878E+06  0.674759680059E+24  0.134601083637E+08  0.368889025791E+00
  0.141263812629E-10  0.500000084373E-01  0.949999917791E+00  0.686280482808E-07  0.514386255486E-08  0.894512366995E+03  0.138338611410E+05  0.349571909897E-01  0.128877118895E+06  0.674759680491E+24  0.134601083637E+08  0.368889025668E+00
  0.142776450755E-10  0.500000085277E-01  0.949999916910E+00  0.693629101183E-07  0.519894239258E-08  0.894512366458E+03  0.138338611339E+05  0.349571910106E-01  0.128877118912E+06  0.674759680927E+24  0.134601083637E+08  0.368889025544E+00
  0.144304215263E-10  0.500000086189E-01  0.949999916021E+00  0.701051205738E-07  0.525457302873E-08  0.894512365916E+03  0.138338611267E+05  0.349571910318E-01  0.128877118929E+06  0.674759681367E+24  0.134601083637E+08  0.368889025418E+00
  0.145847257416E-10  0.500000087111E-01  0.949999915123E+00  0.708547531335E-07  0.531075997131E-08  0.894512365368E+03  0.138338611194E+05  0.349571910532E-01  0.128877118946E+06  0.674759681812E+24  0.134601083637E+08  0.368889025292E+00
  0.147405729990E-10  0.500000088042E-01  0.949999914216E+00  0.716118820184E-07  0.536750878337E-08  0.894512364815E+03  0.138338611120E+05  0.349571910748E-01  0.128877118963E+06  0.674759682262E+24  0.134601083637E+08  0.368889025164E+00
  0.148979787290E-10  0.500000088982E-01  0.949999913300E+00  0.723765821919E-07  0.542482508362E-08  0.894512364257E+03  0.138338611046E+05  0.349571910967E-01  0.128877118980E+06  0.674759682715E+24  0.134601083637E+08  0.368889025034E+00
  0.150569585163E-10  0.500000089931E-01  0.949999912375E+00  0.731489293666E-07  0.548271454693E-08  0.894512363693E+03  0.138338610971E+05  0.349571911187E-01  0.128877118998E+06  0.674759683174E+24  0.134601083637E+08  0.368889024904E+00
  0.152175281014E-10  0.500000090890E-01  0.949999911441E+00  0.739290000127E-07  0.554118290494E-08  0.894512363123E+03  0.138338610895E+05  0.349571911410E-01  0.128877119016E+06  0.674759683637E+24  0.134601083637E+08  0.368889024772E+00
  0.153797033824E-10  0.500000091859E-01  0.949999910497E+00  0.747168713649E-07  0.560023594659E-08  0.894512362547E+03  0.138338610819E+05  0.349571911635E-01  0.128877119034E+06  0.674759684104E+24  0.134601083637E+08  0.368889024638E+00
  0.155435004163E-10  0.500000092837E-01  0.949999909544E+00  0.755126214302E-07  0.565987951873E-08  0.894512361966E+03  0.138338610741E+05  0.349571911862E-01  0.128877119052E+06  0.674759684577E+24  0.134601083637E+08  0.368889024504E+00
  0.157089354204E-10  0.500000093825E-01  0.949999908581E+00  0.763163289958E-07  0.572011952666E-08  0.894512361379E+03  0.138338610663E+05  0.349571912091E-01  0.128877119070E+06  0.674759685054E+24  0.134601083637E+08  0.368889024368E+00
  0.158760247746E-10  0.500000094823E-01  0.949999907609E+00  0.771280736365E-07  0.578096193474E-08  0.894512360786E+03  0.138338610584E+05  0.349571912323E-01  0.128877119089E+06  0.674759685535E+24  0.134601083637E+08  0.368889024231E+00
  0.160447850224E-10  0.500000095831E-01  0.949999906627E+00  0.779479357233E-07  0.584241276697E-08  0.894512360188E+03  0.138338610505E+05  0.349571912557E-01  0.128877119108E+06  0.674759686022E+24  0.134601083637E+08  0.368889024092E+00
  0.162152328726E-10  0.500000096849E-01  0.949999905635E+00  0.787759964305E-07  0.590447810760E-08  0.894512359583E+03  0.138338610424E+05  0.349571912793E-01  0.128877119127E+06  0.674759686513E+24  0.134601083637E+08  0.368889023952E+00
  0.163873852013E-10  0.500000097878E-01  0.949999904633E+00  0.796123377443E-07  0.596716410171E-08  0.894512358972E+03  0.138338610343E+05  0.349571913032E-01  0.128877119146E+06  0.674759687010E+24  0.134601083637E+08  0.368889023810E+00
  0.165612590533E-10  0.500000098916E-01  0.949999903621E+00  0.804570424707E-07  0.603047695583E-08  0.894512358355E+03  0.138338610261E+05  0.349571913273E-01  0.128877119165E+06  0.674759687511E+24  0.134601083637E+08  0.368889023668E+00
  0.167368716439E-10  0.500000099965E-01  0.949999902599E+00  0.813101942440E-07  0.609442293857E-08  0.894512357732E+03  0.138338610178E+05  0.349571913516E-01  0.128877119184E+06  0.674759688017E+24  0.134601083637E+08  0.368889023523E+00
  0.169142403603E-10  0.500000101024E-01  0.949999901567E+00  0.821718775346E-07  0.615900838122E-08  0.894512357103E+03  0.138338610094E+05  0.349571913762E-01  0.128877119204E+06  0.674759688529E+24  0.134601083637E+08  0.368889023378E+00
  0.170933827639E-10  0.500000102094E-01  0.949999900524E+00  0.830421776575E-07  0.622423967838E-08  0.894512356467E+03  0.138338610010E+05  0.349571914011E-01  0.128877119224E+06  0.674759689045E+24  0.134601083637E+08  0.368889023230E+00
  0.172743165915E-10  0.500000103175E-01  0.949999899471E+00  0.839211807812E-07  0.629012328859E-08  0.894512355825E+03  0.138338609924E+05  0.349571914262E-01  0.128877119244E+06  0.674759689567E+24  0.134601083637E+08  0.368889023082E+00
  0.174570597575E-10  0.500000104267E-01  0.949999898408E+00  0.848089739356E-07  0.635666573498E-08  0.894512355176E+03  0.138338609838E+05  0.349571914515E-01  0.128877119264E+06  0.674759690094E+24  0.134601083637E+08  0.368889022932E+00
  0.176416303550E-10  0.500000105369E-01  0.949999897334E+00  0.857056450211E-07  0.642387360593E-08  0.894512354522E+03  0.138338609751E+05  0.349571914771E-01  0.128877119285E+06  0.674759690626E+24  0.134601083637E+08  0.368889022780E+00
  0.178280466586E-10  0.500000106482E-01  0.949999896249E+00  0.866112828169E-07  0.649175355567E-08  0.894512353860E+03  0.138338609663E+05  0.349571915030E-01  0.128877119306E+06  0.674759691164E+24  0.134601083637E+08  0.368889022627E+00
  0.180163271252E-10  0.500000107607E-01  0.949999895153E+00  0.875259769901E-07  0.656031230500E-08  0.894512353192E+03  0.138338609574E+05  0.349571915291E-01  0.128877119326E+06  0.674759691706E+24  0.134601083637E+08  0.368889022472E+00
  0.182064903964E-10  0.500000108743E-01  0.949999894046E+00  0.884498181045E-07  0.662955664191E-08  0.894512352517E+03  0.138338609484E+05  0.349571915554E-01  0.128877119348E+06  0.674759692255E+24  0.134601083637E+08  0.368889022316E+00
  0.183985553004E-10  0.500000109890E-01  0.949999892929E+00  0.893828976294E-07  0.669949342228E-08  0.894512351836E+03  0.138338609394E+05  0.349571915821E-01  0.128877119369E+06  0.674759692808E+24  0.134601083637E+08  0.368889022158E+00
  0.185925408534E-10  0.500000111048E-01  0.949999891800E+00  0.903253079491E-07  0.677012957055E-08  0.894512351147E+03  0.138338609302E+05  0.349571916090E-01  0.128877119390E+06  0.674759693368E+24  0.134601083637E+08  0.368889021999E+00
  0.187884662619E-10  0.500000112219E-01  0.949999890660E+00  0.912771423714E-07  0.684147208041E-08  0.894512350452E+03  0.138338609210E+05  0.349571916361E-01  0.128877119412E+06  0.674759693933E+24  0.134601083637E+08  0.368889021838E+00
  0.189863509245E-10  0.500000113401E-01  0.949999889508E+00  0.922384951373E-07  0.691352801545E-08  0.894512349750E+03  0.138338609116E+05  0.349571916636E-01  0.128877119434E+06  0.674759694503E+24  0.134601083637E+08  0.368889021675E+00
  0.191862144338E-10  0.500000114594E-01  0.949999888345E+00  0.932094614302E-07  0.698630450995E-08  0.894512349041E+03  0.138338609022E+05  0.349571916913E-01  0.128877119456E+06  0.674759695079E+24  0.134601083637E+08  0.368889021511E+00
  0.193880765781E-10  0.500000115800E-01  0.949999887170E+00  0.941901373855E-07  0.705980876950E-08  0.894512348325E+03  0.138338608927E+05  0.349571917193E-01  0.128877119479E+06  0.674759695661E+24  0.134601083637E+08  0.368889021345E+00
  0.195919573439E-10  0.500000117018E-01  0.949999885984E+00  0.951806200997E-07  0.713404807174E-08  0.894512347601E+03  0.138338608830E+05  0.349571917475E-01  0.128877119501E+06  0.674759696249E+24  0.134601083637E+08  0.368889021177E+00
  0.197978769173E-10  0.500000118248E-01  0.949999884785E+00  0.961810076404E-07  0.720902976712E-08  0.894512346871E+03  0.138338608733E+05  0.349571917761E-01  0.128877119524E+06  0.674759696843E+24  0.134601083637E+08  0.368889021008E+00
  0.200058556865E-10  0.500000119490E-01  0.949999883575E+00  0.971913990559E-07  0.728476127955E-08  0.894512346133E+03  0.138338608635E+05  0.349571918049E-01  0.128877119547E+06  0.674759697443E+24  0.134601083637E+08  0.368889020837E+00
  0.202159142434E-10  0.500000120744E-01  0.949999882352E+00  0.982118943848E-07  0.736125010723E-08  0.894512345387E+03  0.138338608536E+05  0.349571918341E-01  0.128877119570E+06  0.674759698048E+24  0.134601083637E+08  0.368889020665E+00
  0.204280733858E-10  0.500000122012E-01  0.949999881118E+00  0.992425946664E-07  0.743850382329E-08  0.894512344634E+03  0.138338608436E+05  0.349571918635E-01  0.128877119594E+06  0.674759698660E+24  0.134601083637E+08  0.368889020490E+00
  0.206423541197E-10  0.500000123291E-01  0.949999879871E+00  0.100283601950E-06  0.751653007662E-08  0.894512343874E+03  0.138338608335E+05  0.349571918932E-01  0.128877119618E+06  0.674759699278E+24  0.134601083637E+08  0.368889020314E+00
  0.208587776609E-10  0.500000124584E-01  0.949999878611E+00  0.101335019306E-06  0.759533659261E-08  0.894512343106E+03  0.138338608232E+05  0.349571919232E-01  0.128877119642E+06  0.674759699902E+24  0.134601083637E+08  0.368889020137E+00
  0.210773654375E-10  0.500000125890E-01  0.949999877339E+00  0.102396950834E-06  0.767493117388E-08  0.894512342331E+03  0.138338608129E+05  0.349571919535E-01  0.128877119666E+06  0.674759700532E+24  0.134601083637E+08  0.368889019957E+00
  0.212981390919E-10  0.500000127208E-01  0.949999876054E+00  0.103469501678E-06  0.775532170108E-08  0.894512341547E+03  0.138338608025E+05  0.349571919841E-01  0.128877119691E+06  0.674759701169E+24  0.134601083637E+08  0.368889019776E+00
  0.215211204828E-10  0.500000128540E-01  0.949999874757E+00  0.104552778029E-06  0.783651613368E-08  0.894512340756E+03  0.138338607920E+05  0.349571920151E-01  0.128877119715E+06  0.674759701812E+24  0.134601083637E+08  0.368889019592E+00
  0.217463316876E-10  0.500000129885E-01  0.949999873446E+00  0.105646887142E-06  0.791852251074E-08  0.894512339957E+03  0.138338607814E+05  0.349571920463E-01  0.128877119740E+06  0.674759702461E+24  0.134601083637E+08  0.368889019407E+00
  0.219737950045E-10  0.500000131244E-01  0.949999872122E+00  0.106751937346E-06  0.800134895169E-08  0.894512339150E+03  0.138338607706E+05  0.349571920778E-01  0.128877119766E+06  0.674759703117E+24  0.134601083637E+08  0.368889019220E+00
  0.222035329545E-10  0.500000132616E-01  0.949999870785E+00  0.107868038051E-06  0.808500365718E-08  0.894512338335E+03  0.138338607598E+05  0.349571921097E-01  0.128877119791E+06  0.674759703779E+24  0.134601083637E+08  0.368889019032E+00
  0.224355682841E-10  0.500000134002E-01  0.949999869435E+00  0.108995299763E-06  0.816949490987E-08  0.894512337511E+03  0.138338607488E+05  0.349571921419E-01  0.128877119817E+06  0.674759704448E+24  0.134601083637E+08  0.368889018841E+00
  0.226699239669E-10  0.500000135402E-01  0.949999868071E+00  0.110133834090E-06  0.825483107522E-08  0.894512336680E+03  0.138338607378E+05  0.349571921744E-01  0.128877119843E+06  0.674759705124E+24  0.134601083637E+08  0.368889018648E+00
  0.229066232066E-10  0.500000136815E-01  0.949999866694E+00  0.111283753761E-06  0.834102060236E-08  0.894512335840E+03  0.138338607266E+05  0.349571922072E-01  0.128877119869E+06  0.674759705806E+24  0.134601083637E+08  0.368889018454E+00
  0.231456894386E-10  0.500000138243E-01  0.949999865302E+00  0.112445172627E-06  0.842807202492E-08  0.894512334992E+03  0.138338607153E+05  0.349571922403E-01  0.128877119896E+06  0.674759706496E+24  0.134601083637E+08  0.368889018258E+00
  0.233871463330E-10  0.500000139685E-01  0.949999863897E+00  0.113618205680E-06  0.851599396185E-08  0.894512334135E+03  0.138338607039E+05  0.349571922738E-01  0.128877119922E+06  0.674759707192E+24  0.134601083637E+08  0.368889018059E+00
  0.236310177964E-10  0.500000141142E-01  0.949999862478E+00  0.114802969064E-06  0.860479511830E-08  0.894512333270E+03  0.138338606924E+05  0.349571923076E-01  0.128877119949E+06  0.674759707895E+24  0.134601083637E+08  0.368889017859E+00
  0.238773279743E-10  0.500000142613E-01  0.949999861045E+00  0.115999580080E-06  0.869448428647E-08  0.894512332396E+03  0.138338606808E+05  0.349571923418E-01  0.128877119977E+06  0.674759708605E+24  0.134601083637E+08  0.368889017656E+00
  0.241261012541E-10  0.500000144099E-01  0.949999859597E+00  0.117208157206E-06  0.878507034647E-08  0.894512331513E+03  0.138338606690E+05  0.349571923763E-01  0.128877120004E+06  0.674759709322E+24  0.134601083637E+08  0.368889017452E+00
  0.243773622666E-10  0.500000145600E-01  0.949999858135E+00  0.118428820102E-06  0.887656226723E-08  0.894512330621E+03  0.138338606572E+05  0.349571924111E-01  0.128877120032E+06  0.674759710047E+24  0.134601083637E+08  0.368889017246E+00
  0.246311358893E-10  0.500000147115E-01  0.949999856658E+00  0.119661689625E-06  0.896896910736E-08  0.894512329721E+03  0.138338606452E+05  0.349571924463E-01  0.128877120060E+06  0.674759710779E+24  0.134601083637E+08  0.368889017037E+00
  0.248874472482E-10  0.500000148646E-01  0.949999855166E+00  0.120906887843E-06  0.906230001606E-08  0.894512328811E+03  0.138338606331E+05  0.349571924818E-01  0.128877120089E+06  0.674759711518E+24  0.134601083637E+08  0.368889016826E+00
  0.251463217207E-10  0.500000150193E-01  0.949999853660E+00  0.122164538043E-06  0.915656423401E-08  0.894512327893E+03  0.138338606209E+05  0.349571925177E-01  0.128877120118E+06  0.674759712264E+24  0.134601083637E+08  0.368889016614E+00
  0.254077849379E-10  0.500000151754E-01  0.949999852138E+00  0.123434764743E-06  0.925177109432E-08  0.894512326965E+03  0.138338606085E+05  0.349571925540E-01  0.128877120147E+06  0.674759713018E+24  0.134601083637E+08  0.368889016399E+00
  0.256718627872E-10  0.500000153331E-01  0.949999850601E+00  0.124717693709E-06  0.934793002340E-08  0.894512326028E+03  0.138338605961E+05  0.349571925906E-01  0.128877120176E+06  0.674759713779E+24  0.134601083637E+08  0.368889016182E+00
  0.259385814151E-10  0.500000154924E-01  0.949999849049E+00  0.126013451964E-06  0.944505054195E-08  0.894512325082E+03  0.138338605835E+05  0.349571926276E-01  0.128877120205E+06  0.674759714548E+24  0.134601083637E+08  0.368889015963E+00
  0.262079672293E-10  0.500000156533E-01  0.949999847481E+00  0.127322167800E-06  0.954314226587E-08  0.894512324126E+03  0.138338605708E+05  0.349571926650E-01  0.128877120235E+06  0.674759715325E+24  0.134601083637E+08  0.368889015741E+00
  0.264800469016E-10  0.500000158159E-01  0.949999845898E+00  0.128643970794E-06  0.964221490721E-08  0.894512323160E+03  0.138338605579E+05  0.349571927027E-01  0.128877120266E+06  0.674759716109E+24  0.134601083637E+08  0.368889015518E+00
  0.267548473706E-10  0.500000159800E-01  0.949999844299E+00  0.129978991816E-06  0.974227827516E-08  0.894512322185E+03  0.138338605449E+05  0.349571927408E-01  0.128877120296E+06  0.674759716902E+24  0.134601083637E+08  0.368889015292E+00
  0.270323958443E-10  0.500000161458E-01  0.949999842684E+00  0.131327363047E-06  0.984334227698E-08  0.894512321201E+03  0.138338605318E+05  0.349571927793E-01  0.128877120327E+06  0.674759717702E+24  0.134601083637E+08  0.368889015064E+00
  0.273127198027E-10  0.500000163132E-01  0.949999841052E+00  0.132689217989E-06  0.994541691901E-08  0.894512320206E+03  0.138338605186E+05  0.349571928182E-01  0.128877120358E+06  0.674759718510E+24  0.134601083637E+08  0.368889014834E+00
  0.275958470007E-10  0.500000164823E-01  0.949999839405E+00  0.134064691480E-06  0.100485123077E-07  0.894512319201E+03  0.138338605052E+05  0.349571928574E-01  0.128877120389E+06  0.674759719327E+24  0.134601083637E+08  0.368889014601E+00
  0.278818054708E-10  0.500000166531E-01  0.949999837740E+00  0.135453919704E-06  0.101526386504E-07  0.894512318187E+03  0.138338604917E+05  0.349571928971E-01  0.128877120421E+06  0.674759720151E+24  0.134601083637E+08  0.368889014366E+00
  0.281706235255E-10  0.500000168256E-01  0.949999836060E+00  0.136857040210E-06  0.102578062568E-07  0.894512317162E+03  0.138338604781E+05  0.349571929371E-01  0.128877120453E+06  0.674759720984E+24  0.134601083637E+08  0.368889014129E+00
  0.284623297607E-10  0.500000169998E-01  0.949999834362E+00  0.138274191919E-06  0.103640255395E-07  0.894512316127E+03  0.138338604643E+05  0.349571929776E-01  0.128877120485E+06  0.674759721825E+24  0.134601083637E+08  0.368889013889E+00
  0.287569530583E-10  0.500000171758E-01  0.949999832647E+00  0.139705515144E-06  0.104713070152E-07  0.894512315081E+03  0.138338604504E+05  0.349571930184E-01  0.128877120518E+06  0.674759722674E+24  0.134601083637E+08  0.368889013647E+00
  0.290545225889E-10  0.500000173535E-01  0.949999830916E+00  0.141151151599E-06  0.105796613059E-07  0.894512314025E+03  0.138338604364E+05  0.349571930597E-01  0.128877120551E+06  0.674759723532E+24  0.134601083637E+08  0.368889013402E+00
  0.293550678148E-10  0.500000175330E-01  0.949999829167E+00  0.142611244418E-06  0.106890991397E-07  0.894512312959E+03  0.138338604222E+05  0.349571931014E-01  0.128877120585E+06  0.674759724399E+24  0.134601083637E+08  0.368889013156E+00
  0.296586184929E-10  0.500000177143E-01  0.949999827400E+00  0.144085938164E-06  0.107996313521E-07  0.894512311882E+03  0.138338604079E+05  0.349571931434E-01  0.128877120618E+06  0.674759725274E+24  0.134601083637E+08  0.368889012906E+00
  0.299652046779E-10  0.500000178974E-01  0.949999825616E+00  0.145575378846E-06  0.109112688868E-07  0.894512310794E+03  0.138338603934E+05  0.349571931860E-01  0.128877120652E+06  0.674759726158E+24  0.134601083637E+08  0.368889012654E+00
  0.302748567246E-10  0.500000180824E-01  0.949999823814E+00  0.147079713933E-06  0.110240227971E-07  0.894512309695E+03  0.138338603788E+05  0.349571932289E-01  0.128877120687E+06  0.674759727051E+24  0.134601083637E+08  0.368889012400E+00
  0.305876052919E-10  0.500000182692E-01  0.949999821994E+00  0.148599092369E-06  0.111379042468E-07  0.894512308586E+03  0.138338603640E+05  0.349571932723E-01  0.128877120721E+06  0.674759727953E+24  0.134601083637E+08  0.368889012143E+00
  0.309034813448E-10  0.500000184579E-01  0.949999820156E+00  0.150133664589E-06  0.112529245113E-07  0.894512307465E+03  0.138338603491E+05  0.349571933161E-01  0.128877120756E+06  0.674759728863E+24  0.134601083637E+08  0.368889011883E+00
  0.312225161583E-10  0.500000186484E-01  0.949999818299E+00  0.151683582529E-06  0.113690949786E-07  0.894512306333E+03  0.138338603341E+05  0.349571933603E-01  0.128877120792E+06  0.674759729783E+24  0.134601083637E+08  0.368889011621E+00
  0.315447413198E-10  0.500000188409E-01  0.949999816424E+00  0.153248999647E-06  0.114864271509E-07  0.894512305189E+03  0.138338603188E+05  0.349571934050E-01  0.128877120827E+06  0.674759730712E+24  0.134601083637E+08  0.368889011356E+00
  0.318701887330E-10  0.500000190352E-01  0.949999814530E+00  0.154830070934E-06  0.116049326451E-07  0.894512304035E+03  0.138338603035E+05  0.349571934501E-01  0.128877120864E+06  0.674759731651E+24  0.134601083637E+08  0.368889011089E+00
  0.321988906204E-10  0.500000192316E-01  0.949999812617E+00  0.156426952933E-06  0.117246231946E-07  0.894512302868E+03  0.138338602880E+05  0.349571934957E-01  0.128877120900E+06  0.674759732598E+24  0.134601083637E+08  0.368889010819E+00
  0.325308795266E-10  0.500000194299E-01  0.949999810685E+00  0.158039803750E-06  0.118455106498E-07  0.894512301690E+03  0.138338602723E+05  0.349571935417E-01  0.128877120937E+06  0.674759733556E+24  0.134601083637E+08  0.368889010546E+00
  0.328661883218E-10  0.500000196301E-01  0.949999808733E+00  0.159668783073E-06  0.119676069799E-07  0.894512300501E+03  0.138338602565E+05  0.349571935882E-01  0.128877120974E+06  0.674759734522E+24  0.134601083637E+08  0.368889010271E+00
  0.332048502051E-10  0.500000198324E-01  0.949999806763E+00  0.161314052188E-06  0.120909242736E-07  0.894512299299E+03  0.138338602405E+05  0.349571936352E-01  0.128877121012E+06  0.674759735499E+24  0.134601083637E+08  0.368889009992E+00
  0.335468987071E-10  0.500000200367E-01  0.949999804772E+00  0.162975773993E-06  0.122154747404E-07  0.894512298085E+03  0.138338602243E+05  0.349571936826E-01  0.128877121050E+06  0.674759736485E+24  0.134601083637E+08  0.368889009711E+00
  0.338923676942E-10  0.500000202430E-01  0.949999802762E+00  0.164654113013E-06  0.123412707123E-07  0.894512296859E+03  0.138338602080E+05  0.349571937305E-01  0.128877121088E+06  0.674759737481E+24  0.134601083637E+08  0.368889009427E+00
  0.342412913711E-10  0.500000204514E-01  0.949999800731E+00  0.166349235422E-06  0.124683246442E-07  0.894512295621E+03  0.138338601916E+05  0.349571937789E-01  0.128877121127E+06  0.674759738487E+24  0.134601083637E+08  0.368889009141E+00
  0.345937042848E-10  0.500000206619E-01  0.949999798680E+00  0.168061309053E-06  0.125966491157E-07  0.894512294371E+03  0.138338601749E+05  0.349571938278E-01  0.128877121166E+06  0.674759739503E+24  0.134601083637E+08  0.368889008851E+00
  0.349496413277E-10  0.500000208745E-01  0.949999796609E+00  0.169790503419E-06  0.127262568323E-07  0.894512293108E+03  0.138338601581E+05  0.349571938771E-01  0.128877121205E+06  0.674759740529E+24  0.134601083637E+08  0.368889008559E+00
  0.353091377410E-10  0.500000210892E-01  0.949999794517E+00  0.171536989726E-06  0.128571606263E-07  0.894512291832E+03  0.138338601412E+05  0.349571939270E-01  0.128877121245E+06  0.674759741566E+24  0.134601083637E+08  0.368889008263E+00
  0.356722291184E-10  0.500000213061E-01  0.949999792404E+00  0.173300940895E-06  0.129893734586E-07  0.894512290544E+03  0.138338601240E+05  0.349571939773E-01  0.128877121285E+06  0.674759742613E+24  0.134601083637E+08  0.368889007965E+00
  0.360389514096E-10  0.500000215251E-01  0.949999790269E+00  0.175082531573E-06  0.131229084196E-07  0.894512289243E+03  0.138338601067E+05  0.349571940282E-01  0.128877121326E+06  0.674759743670E+24  0.134601083637E+08  0.368889007664E+00
  0.364093409237E-10  0.500000217464E-01  0.949999788114E+00  0.176881938155E-06  0.132577787305E-07  0.894512287929E+03  0.138338600892E+05  0.349571940795E-01  0.128877121367E+06  0.674759744738E+24  0.134601083637E+08  0.368889007359E+00
  0.367834343329E-10  0.500000219698E-01  0.949999785937E+00  0.178699338802E-06  0.133939977449E-07  0.894512286601E+03  0.138338600716E+05  0.349571941314E-01  0.128877121409E+06  0.674759745817E+24  0.134601083637E+08  0.368889007052E+00
  0.371612686762E-10  0.500000221955E-01  0.949999783738E+00  0.180534913453E-06  0.135315789498E-07  0.894512285260E+03  0.138338600537E+05  0.349571941838E-01  0.128877121451E+06  0.674759746906E+24  0.134601083637E+08  0.368889006742E+00
  0.375428813630E-10  0.500000224234E-01  0.949999781517E+00  0.182388843848E-06  0.136705359671E-07  0.894512283906E+03  0.138338600357E+05  0.349571942367E-01  0.128877121493E+06  0.674759748006E+24  0.134601083637E+08  0.368889006428E+00
  0.379283101766E-10  0.500000226536E-01  0.949999779274E+00  0.184261313544E-06  0.138108825549E-07  0.894512282539E+03  0.138338600175E+05  0.349571942902E-01  0.128877121536E+06  0.674759749118E+24  0.134601083637E+08  0.368889006111E+00
  0.383175932784E-10  0.500000228861E-01  0.949999777009E+00  0.186152507936E-06  0.139526326090E-07  0.894512281158E+03  0.138338599991E+05  0.349571943441E-01  0.128877121579E+06  0.674759750240E+24  0.134601083637E+08  0.368889005791E+00
  0.387107692112E-10  0.500000231210E-01  0.949999774721E+00  0.188062614269E-06  0.140958001641E-07  0.894512279762E+03  0.138338599806E+05  0.349571943987E-01  0.128877121623E+06  0.674759751374E+24  0.134601083637E+08  0.368889005468E+00
  0.391078769033E-10  0.500000233581E-01  0.949999772410E+00  0.189991821663E-06  0.142403993950E-07  0.894512278353E+03  0.138338599618E+05  0.349571944537E-01  0.128877121667E+06  0.674759752519E+24  0.134601083637E+08  0.368889005142E+00
  0.395089556723E-10  0.500000235977E-01  0.949999770076E+00  0.191940321128E-06  0.143864446187E-07  0.894512276930E+03  0.138338599429E+05  0.349571945093E-01  0.128877121711E+06  0.674759753675E+24  0.134601083637E+08  0.368889004813E+00
  0.399140452290E-10  0.500000238396E-01  0.949999767718E+00  0.193908305586E-06  0.145339502951E-07  0.894512275493E+03  0.138338599238E+05  0.349571945655E-01  0.128877121756E+06  0.674759754843E+24  0.134601083637E+08  0.368889004480E+00
