#--------------------------#
# x [m]  X_O  X_O2_1  X_O2_2  X_O2_3  u [m/s]  Th [K]  rho [kg/m^3]  p [Pa]  nd [1/m^3]  H [J/kg]  Mf
  0.282431995017E-12  0.500000001687E-01  0.949999998356E+00  0.137210620952E-08  0.102852224240E-09  0.894512416117E+03  0.138338617945E+05  0.349571890700E-01  0.128877117359E+06  0.674759640575E+24  0.134601083637E+08  0.368889037043E+00
  0.295256314967E-12  0.500000001764E-01  0.949999998282E+00  0.143440864372E-08  0.107521955759E-09  0.894512416071E+03  0.138338617939E+05  0.349571890718E-01  0.128877117360E+06  0.674759640612E+24  0.134601083637E+08  0.368889037033E+00
  0.308208878117E-12  0.500000001841E-01  0.949999998206E+00  0.149733410226E-08  0.112238384595E-09  0.894512416025E+03  0.138338617933E+05  0.349571890736E-01  0.128877117362E+06  0.674759640649E+24  0.134601083637E+08  0.368889037022E+00
  0.321290966898E-12  0.500000001919E-01  0.949999998130E+00  0.156088881538E-08  0.117001977719E-09  0.894512415979E+03  0.138338617927E+05  0.349571890754E-01  0.128877117363E+06  0.674759640687E+24  0.134601083637E+08  0.368889037011E+00
  0.334503876567E-12  0.500000001998E-01  0.949999998053E+00  0.162507907563E-08  0.121813206775E-09  0.894512415932E+03  0.138338617920E+05  0.349571890772E-01  0.128877117365E+06  0.674759640725E+24  0.134601083637E+08  0.368889037000E+00
  0.347848915333E-12  0.500000002078E-01  0.949999997976E+00  0.168991123848E-08  0.126672548122E-09  0.894512415885E+03  0.138338617914E+05  0.349571890791E-01  0.128877117366E+06  0.674759640764E+24  0.134601083637E+08  0.368889036989E+00
  0.361327404486E-12  0.500000002158E-01  0.949999997897E+00  0.175539172296E-08  0.131580482883E-09  0.894512415837E+03  0.138338617908E+05  0.349571890809E-01  0.128877117368E+06  0.674759640803E+24  0.134601083637E+08  0.368889036978E+00
  0.374940678531E-12  0.500000002240E-01  0.949999997818E+00  0.182152701228E-08  0.136537496992E-09  0.894512415788E+03  0.138338617901E+05  0.349571890828E-01  0.128877117369E+06  0.674759640842E+24  0.134601083637E+08  0.368889036967E+00
  0.388690085316E-12  0.500000002322E-01  0.949999997738E+00  0.188832365448E-08  0.141544081242E-09  0.894512415740E+03  0.138338617895E+05  0.349571890847E-01  0.128877117371E+06  0.674759640881E+24  0.134601083637E+08  0.368889036956E+00
  0.402576986170E-12  0.500000002405E-01  0.949999997657E+00  0.195578826311E-08  0.146600731336E-09  0.894512415690E+03  0.138338617888E+05  0.349571890867E-01  0.128877117372E+06  0.674759640921E+24  0.134601083637E+08  0.368889036944E+00
  0.416602756031E-12  0.500000002488E-01  0.949999997576E+00  0.202392751782E-08  0.151707947931E-09  0.894512415641E+03  0.138338617882E+05  0.349571890886E-01  0.128877117374E+06  0.674759640962E+24  0.134601083637E+08  0.368889036933E+00
  0.430768783592E-12  0.500000002573E-01  0.949999997493E+00  0.209274816508E-08  0.156866236692E-09  0.894512415590E+03  0.138338617875E+05  0.349571890906E-01  0.128877117375E+06  0.674759641003E+24  0.134601083637E+08  0.368889036921E+00
  0.445076471427E-12  0.500000002658E-01  0.949999997410E+00  0.216225701880E-08  0.162076108342E-09  0.894512415540E+03  0.138338617868E+05  0.349571890925E-01  0.128877117377E+06  0.674759641044E+24  0.134601083637E+08  0.368889036910E+00
  0.459527236142E-12  0.500000002745E-01  0.949999997326E+00  0.223246096106E-08  0.167338078708E-09  0.894512415488E+03  0.138338617861E+05  0.349571890945E-01  0.128877117378E+06  0.674759641086E+24  0.134601083637E+08  0.368889036898E+00
  0.474122508503E-12  0.500000002832E-01  0.949999997241E+00  0.230336694274E-08  0.172652668779E-09  0.894512415437E+03  0.138338617854E+05  0.349571890966E-01  0.128877117380E+06  0.674759641128E+24  0.134601083637E+08  0.368889036886E+00
  0.488863733588E-12  0.500000002920E-01  0.949999997155E+00  0.237498198423E-08  0.178020404751E-09  0.894512415384E+03  0.138338617848E+05  0.349571890986E-01  0.128877117382E+06  0.674759641170E+24  0.134601083637E+08  0.368889036874E+00
  0.503752370924E-12  0.500000003009E-01  0.949999997068E+00  0.244731317613E-08  0.183441818083E-09  0.894512415331E+03  0.138338617841E+05  0.349571891007E-01  0.128877117383E+06  0.674759641213E+24  0.134601083637E+08  0.368889036861E+00
  0.518789894633E-12  0.500000003099E-01  0.949999996981E+00  0.252036767995E-08  0.188917445549E-09  0.894512415278E+03  0.138338617833E+05  0.349571891028E-01  0.128877117385E+06  0.674759641257E+24  0.134601083637E+08  0.368889036849E+00
  0.533977793580E-12  0.500000003189E-01  0.949999996892E+00  0.259415272880E-08  0.194447829291E-09  0.894512415224E+03  0.138338617826E+05  0.349571891049E-01  0.128877117387E+06  0.674759641300E+24  0.134601083637E+08  0.368889036837E+00
  0.549317571515E-12  0.500000003281E-01  0.949999996803E+00  0.266867562814E-08  0.200033516870E-09  0.894512415170E+03  0.138338617819E+05  0.349571891070E-01  0.128877117388E+06  0.674759641345E+24  0.134601083637E+08  0.368889036824E+00
  0.564810747231E-12  0.500000003374E-01  0.949999996713E+00  0.274394375647E-08  0.205675061326E-09  0.894512415115E+03  0.138338617812E+05  0.349571891091E-01  0.128877117390E+06  0.674759641389E+24  0.134601083637E+08  0.368889036811E+00
  0.580458854703E-12  0.500000003467E-01  0.949999996622E+00  0.281996456607E-08  0.211373021227E-09  0.894512415059E+03  0.138338617804E+05  0.349571891113E-01  0.128877117392E+06  0.674759641434E+24  0.134601083637E+08  0.368889036798E+00
  0.596263443250E-12  0.500000003561E-01  0.949999996530E+00  0.289674558377E-08  0.217127960727E-09  0.894512415003E+03  0.138338617797E+05  0.349571891135E-01  0.128877117394E+06  0.674759641480E+24  0.134601083637E+08  0.368889036785E+00
  0.612226077682E-12  0.500000003657E-01  0.949999996437E+00  0.297429441164E-08  0.222940449624E-09  0.894512414947E+03  0.138338617789E+05  0.349571891157E-01  0.128877117395E+06  0.674759641526E+24  0.134601083637E+08  0.368889036772E+00
  0.628348338459E-12  0.500000003753E-01  0.949999996343E+00  0.305261872779E-08  0.228811063410E-09  0.894512414889E+03  0.138338617782E+05  0.349571891180E-01  0.128877117397E+06  0.674759641572E+24  0.134601083637E+08  0.368889036759E+00
  0.644631821844E-12  0.500000003850E-01  0.949999996249E+00  0.313172628710E-08  0.234740383334E-09  0.894512414832E+03  0.138338617774E+05  0.349571891202E-01  0.128877117399E+06  0.674759641619E+24  0.134601083637E+08  0.368889036746E+00
  0.661078140062E-12  0.500000003949E-01  0.949999996153E+00  0.321162492199E-08  0.240728996458E-09  0.894512414773E+03  0.138338617766E+05  0.349571891225E-01  0.128877117401E+06  0.674759641667E+24  0.134601083637E+08  0.368889036732E+00
  0.677688921463E-12  0.500000004048E-01  0.949999996056E+00  0.329232254323E-08  0.246777495714E-09  0.894512414714E+03  0.138338617758E+05  0.349571891248E-01  0.128877117403E+06  0.674759641715E+24  0.134601083637E+08  0.368889036718E+00
  0.694465810678E-12  0.500000004148E-01  0.949999995958E+00  0.337382714068E-08  0.252886479964E-09  0.894512414655E+03  0.138338617750E+05  0.349571891271E-01  0.128877117405E+06  0.674759641763E+24  0.134601083637E+08  0.368889036705E+00
  0.711410468784E-12  0.500000004249E-01  0.949999995860E+00  0.345614678409E-08  0.259056554057E-09  0.894512414595E+03  0.138338617742E+05  0.349571891295E-01  0.128877117406E+06  0.674759641812E+24  0.134601083637E+08  0.368889036691E+00
  0.728524573472E-12  0.500000004351E-01  0.949999995760E+00  0.353928962394E-08  0.265288328891E-09  0.894512414534E+03  0.138338617734E+05  0.349571891318E-01  0.128877117408E+06  0.674759641861E+24  0.134601083637E+08  0.368889036677E+00
  0.745809819207E-12  0.500000004455E-01  0.949999995660E+00  0.362326389218E-08  0.271582421475E-09  0.894512414473E+03  0.138338617726E+05  0.349571891342E-01  0.128877117410E+06  0.674759641911E+24  0.134601083637E+08  0.368889036662E+00
  0.763267917399E-12  0.500000004559E-01  0.949999995558E+00  0.370807790310E-08  0.277939454985E-09  0.894512414411E+03  0.138338617718E+05  0.349571891367E-01  0.128877117412E+06  0.674759641961E+24  0.134601083637E+08  0.368889036648E+00
  0.780900596573E-12  0.500000004664E-01  0.949999995455E+00  0.379374005412E-08  0.284360058831E-09  0.894512414348E+03  0.138338617710E+05  0.349571891391E-01  0.128877117414E+06  0.674759642012E+24  0.134601083637E+08  0.368889036634E+00
  0.798709602539E-12  0.500000004771E-01  0.949999995352E+00  0.388025882665E-08  0.290844868716E-09  0.894512414285E+03  0.138338617701E+05  0.349571891416E-01  0.128877117416E+06  0.674759642064E+24  0.134601083637E+08  0.368889036619E+00
  0.816696698564E-12  0.500000004878E-01  0.949999995247E+00  0.396764278690E-08  0.297394526701E-09  0.894512414221E+03  0.138338617693E+05  0.349571891441E-01  0.128877117418E+06  0.674759642115E+24  0.134601083637E+08  0.368889036604E+00
  0.834863665550E-12  0.500000004986E-01  0.949999995141E+00  0.405590058674E-08  0.304009681266E-09  0.894512414157E+03  0.138338617684E+05  0.349571891466E-01  0.128877117420E+06  0.674759642168E+24  0.134601083637E+08  0.368889036589E+00
  0.853212302205E-12  0.500000005096E-01  0.949999995035E+00  0.414504096458E-08  0.310690987378E-09  0.894512414091E+03  0.138338617676E+05  0.349571891491E-01  0.128877117422E+06  0.674759642221E+24  0.134601083637E+08  0.368889036574E+00
  0.871744425227E-12  0.500000005207E-01  0.949999994927E+00  0.423507274620E-08  0.317439106552E-09  0.894512414026E+03  0.138338617667E+05  0.349571891517E-01  0.128877117424E+06  0.674759642274E+24  0.134601083637E+08  0.368889036559E+00
  0.890461869480E-12  0.500000005319E-01  0.949999994818E+00  0.432600484562E-08  0.324254706919E-09  0.894512413959E+03  0.138338617658E+05  0.349571891543E-01  0.128877117426E+06  0.674759642328E+24  0.134601083637E+08  0.368889036544E+00
  0.909366488174E-12  0.500000005431E-01  0.949999994708E+00  0.441784626603E-08  0.331138463290E-09  0.894512413892E+03  0.138338617649E+05  0.349571891569E-01  0.128877117428E+06  0.674759642383E+24  0.134601083637E+08  0.368889036528E+00
  0.928460153056E-12  0.500000005546E-01  0.949999994597E+00  0.451060610064E-08  0.338091057226E-09  0.894512413824E+03  0.138338617640E+05  0.349571891596E-01  0.128877117430E+06  0.674759642438E+24  0.134601083637E+08  0.368889036512E+00
  0.947744754587E-12  0.500000005661E-01  0.949999994485E+00  0.460429353359E-08  0.345113177102E-09  0.894512413756E+03  0.138338617631E+05  0.349571891622E-01  0.128877117433E+06  0.674759642493E+24  0.134601083637E+08  0.368889036497E+00
  0.967222202133E-12  0.500000005777E-01  0.949999994371E+00  0.469891784087E-08  0.352205518178E-09  0.894512413687E+03  0.138338617622E+05  0.349571891649E-01  0.128877117435E+06  0.674759642549E+24  0.134601083637E+08  0.368889036481E+00
  0.986894424154E-12  0.500000005895E-01  0.949999994257E+00  0.479448839121E-08  0.359368782666E-09  0.894512413617E+03  0.138338617612E+05  0.349571891677E-01  0.128877117437E+06  0.674759642606E+24  0.134601083637E+08  0.368889036464E+00
  0.100676336840E-11  0.500000006013E-01  0.949999994141E+00  0.489101464705E-08  0.366603679799E-09  0.894512413547E+03  0.138338617603E+05  0.349571891704E-01  0.128877117439E+06  0.674759642664E+24  0.134601083637E+08  0.368889036448E+00
  0.102683100208E-11  0.500000006133E-01  0.949999994024E+00  0.498850616544E-08  0.373910925905E-09  0.894512413475E+03  0.138338617594E+05  0.349571891732E-01  0.128877117441E+06  0.674759642721E+24  0.134601083637E+08  0.368889036432E+00
  0.104709931210E-11  0.500000006254E-01  0.949999993906E+00  0.508697259901E-08  0.381291244473E-09  0.894512413403E+03  0.138338617584E+05  0.349571891760E-01  0.128877117444E+06  0.674759642780E+24  0.134601083637E+08  0.368889036415E+00
  0.106757030522E-11  0.500000006376E-01  0.949999993787E+00  0.518642369691E-08  0.388745366227E-09  0.894512413331E+03  0.138338617574E+05  0.349571891789E-01  0.128877117446E+06  0.674759642839E+24  0.134601083637E+08  0.368889036398E+00
  0.108824600827E-11  0.500000006500E-01  0.949999993667E+00  0.528686930578E-08  0.396274029201E-09  0.894512413257E+03  0.138338617565E+05  0.349571891817E-01  0.128877117448E+06  0.674759642898E+24  0.134601083637E+08  0.368889036381E+00
