# i,E[eV]
1,-4.56838788e+00
2,-3.72844740e+00
3,-2.82784660e+00
4,-1.91537253e+00
5,-9.94480958e-01
6,-9.22833667e-02
7,7.79480366e-01
8,1.69075788e+00
9,2.57271575e+00
