# i,j,K[cm^3/s]
2,1,1.52989603e-10
3,1,2.10038654e-11
3,2,1.91643166e-10
4,1,6.89907890e-12
4,2,3.11605865e-11
4,3,1.92046431e-10
5,1,3.13490192e-12
5,2,1.12183122e-11
5,3,3.13935101e-11
5,4,1.74764397e-10
6,1,1.56688604e-12
6,2,5.06111576e-12
6,3,1.13553902e-11
6,4,2.70861179e-11
6,5,1.46816432e-10
7,1,6.40895959e-13
7,2,2.23325617e-12
7,3,5.05324664e-12
7,4,1.06552725e-11
7,5,2.62209996e-11
7,6,1.65425881e-10
8,1,2.06114754e-13
8,2,8.19073193e-13
8,3,2.05609008e-12
8,4,4.27577118e-12
8,5,9.05478984e-12
8,6,2.30828384e-11
8,7,1.56889676e-10
9,1,1.87713498e-14
9,2,1.42851559e-13
9,3,5.75698934e-13
9,4,1.66898543e-12
9,5,3.78235055e-12
9,6,7.26852542e-12
9,7,1.37108832e-11
9,8,1.50587302e-10
