# i,K[cm^3/s]
1,6.74412715e-12
2,1.56490265e-11
3,4.01056479e-11
4,1.11704558e-10
5,3.48263806e-10
6,1.43465329e-09
7,1.81170291e-09
8,2.18339495e-09
9,2.85780648e-09
