# i,j,K[cm^3/s]
2,1,2.02671787e-11
3,1,1.19790185e-11
3,2,3.67877185e-11
4,1,7.86394551e-12
4,2,2.65087203e-11
4,3,5.37395430e-11
5,1,5.16431753e-12
5,2,1.86291852e-11
5,3,4.18156853e-11
5,4,7.73354467e-11
6,1,3.24827875e-12
6,2,1.23669133e-11
6,3,2.98140797e-11
6,4,6.02800087e-11
6,5,1.08025271e-10
7,1,2.38820461e-12
7,2,1.07020485e-11
7,3,2.76735017e-11
7,4,5.80587156e-11
7,5,1.02972925e-10
7,6,1.42057080e-10
8,1,1.32752831e-12
8,2,8.23114582e-12
8,3,2.51263757e-11
8,4,5.61634024e-11
8,5,1.00710841e-10
8,6,1.34173568e-10
8,7,6.33260829e-11
9,1,4.31718982e-13
9,2,4.35511682e-12
9,3,1.97236690e-11
9,4,5.44302490e-11
9,5,1.05859926e-10
9,6,1.40664147e-10
9,7,6.95937228e-11
9,8,2.81840296e-11
