# i,K[cm^3/s]
1,2.57848079e-14
2,7.61677276e-14
3,1.91089767e-13
4,4.49258910e-13
5,1.00179187e-12
6,2.41596719e-12
7,5.99578157e-12
8,1.44943374e-11
9,3.77079090e-11
10,1.04212269e-10
11,3.66885823e-10
12,1.15226251e-09
13,9.61270936e-10
14,1.00059378e-09
15,1.19960332e-09
16,1.37646984e-09
17,1.59033860e-09
18,2.10049770e-09
