# i,j,K[cm^3/s]
2,1,1.52442311e-10
3,1,2.44698082e-11
3,2,1.76396705e-10
4,1,8.59329341e-12
4,2,3.81358532e-11
4,3,1.88043729e-10
5,1,3.57091783e-12
5,2,1.37021000e-11
5,3,4.21383425e-11
5,4,1.92466651e-10
6,1,1.96598641e-12
6,2,6.39455871e-12
6,3,1.63256321e-11
6,4,4.55631702e-11
6,5,1.90991055e-10
7,1,1.24309391e-12
7,2,3.67115629e-12
7,3,8.04256442e-12
7,4,1.78220323e-11
7,5,4.51102318e-11
7,6,1.89654808e-10
8,1,8.21926343e-13
8,2,2.25081634e-12
8,3,4.47637952e-12
8,4,8.80018865e-12
8,5,1.77294260e-11
8,6,4.32684793e-11
8,7,1.87164041e-10
9,1,5.80410986e-13
9,2,1.53376605e-12
9,3,2.86064255e-12
9,4,5.09775264e-12
9,5,8.87765527e-12
9,6,1.70605885e-11
9,7,4.05837238e-11
9,8,1.80168409e-10
10,1,4.21235683e-13
10,2,1.07276411e-12
10,3,1.94826030e-12
10,4,3.31541743e-12
10,5,5.33169607e-12
10,6,8.79643184e-12
10,7,1.59455887e-11
10,8,3.63588173e-11
10,9,1.66951688e-10
11,1,3.06376331e-13
11,2,7.78411142e-13
11,3,1.40606628e-12
11,4,2.28477679e-12
11,5,3.43464631e-12
11,6,5.18993310e-12
11,7,8.14126614e-12
11,8,1.40476335e-11
11,9,3.04176187e-11
11,10,1.48058595e-10
12,1,1.84139806e-13
12,2,4.79734402e-13
12,3,8.70718332e-13
12,4,1.38974351e-12
12,5,2.08223219e-12
12,6,3.14341703e-12
12,7,4.66579937e-12
12,8,7.24064546e-12
12,9,1.22727271e-11
12,10,2.70654854e-11
12,11,1.40530291e-10
13,1,1.11021145e-13
13,2,2.76906119e-13
13,3,5.13380935e-13
13,4,8.71826129e-13
13,5,1.32576418e-12
13,6,1.97657762e-12
13,7,2.92664402e-12
13,8,4.46847206e-12
13,9,6.97110069e-12
13,10,1.26065021e-11
13,11,2.80241100e-11
13,12,1.47477247e-10
14,1,5.89199346e-14
14,2,1.67478484e-13
14,3,3.13239484e-13
14,4,5.31117072e-13
14,5,8.13754522e-13
14,6,1.21819532e-12
14,7,1.80403124e-12
14,8,2.62470332e-12
14,9,3.88792553e-12
14,10,6.35729620e-12
14,11,1.17059237e-11
14,12,2.55173659e-11
14,13,1.45509598e-10
15,1,3.12741347e-14
15,2,8.74281535e-14
15,3,1.76885341e-13
15,4,2.92744651e-13
15,5,4.61677751e-13
15,6,6.81555062e-13
15,7,1.02939688e-12
15,8,1.51500668e-12
15,9,2.24130131e-12
15,10,3.44335121e-12
15,11,5.90628804e-12
15,12,1.02168242e-11
15,13,2.12772918e-11
15,14,1.41696371e-10
16,1,9.78501761e-15
16,2,3.27697714e-14
16,3,7.43220584e-14
16,4,1.44454714e-13
16,5,2.29101614e-13
16,6,3.57825751e-13
16,7,5.72937996e-13
16,8,8.76866373e-13
16,9,1.26392519e-12
16,10,1.99798947e-12
16,11,3.10054633e-12
16,12,4.83116759e-12
16,13,7.54278795e-12
16,14,1.85242234e-11
16,15,1.36847173e-10
17,1,1.96910767e-15
17,2,9.29999876e-15
17,3,2.13046417e-14
17,4,5.88526830e-14
17,5,1.12928918e-13
17,6,1.85987381e-13
17,7,3.17026528e-13
17,8,4.92850055e-13
17,9,7.42876092e-13
17,10,1.09371648e-12
17,11,1.74989553e-12
17,12,2.44730401e-12
17,13,3.01296988e-12
17,14,5.83333482e-12
17,15,1.66972390e-11
17,16,1.26347617e-10
18,1,0.00000000e+00
18,2,1.66533310e-17
18,3,7.45141056e-15
18,4,1.42983640e-14
18,5,4.75314271e-14
18,6,9.65899687e-14
18,7,1.87122152e-13
18,8,3.31082914e-13
18,9,5.03405846e-13
18,10,8.00195436e-13
18,11,1.17512051e-12
18,12,1.50022371e-12
18,13,1.38053462e-12
18,14,1.82617492e-12
18,15,4.44018135e-12
18,16,1.24031642e-11
18,17,1.21364183e-10
