# i,j,K[cm^3/s]
2,1,1.72124203e-10
3,1,3.34931318e-11
3,2,2.08963760e-10
4,1,1.27620774e-11
4,2,5.25739200e-11
4,3,2.24027675e-10
5,1,6.21945871e-12
5,2,2.09828678e-11
5,3,5.85701807e-11
5,4,2.27627354e-10
6,1,3.47205804e-12
6,2,1.06414661e-11
6,3,2.49706606e-11
6,4,6.15638574e-11
6,5,2.25288629e-10
7,1,2.17022855e-12
7,2,6.13169569e-12
7,3,1.29082067e-11
7,4,2.67706549e-11
7,5,6.06215096e-11
7,6,2.23276759e-10
8,1,1.42291858e-12
8,2,3.84057373e-12
8,3,7.36977488e-12
8,4,1.38592987e-11
8,5,2.64619197e-11
8,6,5.84938510e-11
8,7,2.17457270e-10
9,1,1.00444966e-12
9,2,2.61350294e-12
9,3,4.87459971e-12
9,4,8.39791760e-12
9,5,1.41115846e-11
9,6,2.54147438e-11
9,7,5.41355543e-11
9,8,2.08926035e-10
10,1,7.17501883e-13
10,2,1.86039079e-12
10,3,3.40675189e-12
10,4,5.44284140e-12
10,5,8.45388206e-12
10,6,1.35616162e-11
10,7,2.36750890e-11
10,8,4.92731745e-11
10,9,1.94394246e-10
11,1,5.42363869e-13
11,2,1.35997114e-12
11,3,2.35654054e-12
11,4,3.69491785e-12
11,5,5.45842519e-12
11,6,8.13551949e-12
11,7,1.24913854e-11
11,8,2.10902472e-11
11,9,4.19544185e-11
11,10,1.75326089e-10
12,1,3.11544815e-13
12,2,8.28565735e-13
12,3,1.46687054e-12
12,4,2.33428027e-12
12,5,3.43816029e-12
12,6,5.06922557e-12
12,7,7.49399614e-12
12,8,1.13281930e-11
12,9,1.85821843e-11
12,10,3.85862160e-11
12,11,1.71735299e-10
13,1,2.07706119e-13
13,2,5.28600123e-13
13,3,9.61840872e-13
13,4,1.60087396e-12
13,5,2.39118767e-12
13,6,3.39558183e-12
13,7,5.00264882e-12
13,8,7.28108693e-12
13,9,1.13132224e-11
13,10,1.96853594e-11
13,11,4.10742834e-11
13,12,1.82896782e-10
14,1,1.19357607e-13
14,2,3.47173341e-13
14,3,6.28739044e-13
14,4,1.00242202e-12
14,5,1.49633152e-12
14,6,2.21638118e-12
14,7,3.11061103e-12
14,8,4.56859835e-12
14,9,6.68822432e-12
14,10,1.08016078e-11
14,11,1.91819533e-11
14,12,3.92509343e-11
14,13,1.81452079e-10
15,1,5.78754621e-14
15,2,2.00439986e-13
15,3,3.62647244e-13
15,4,6.03507528e-13
15,5,9.47900934e-13
15,6,1.42401846e-12
15,7,2.00392694e-12
15,8,2.90654059e-12
15,9,4.06169363e-12
15,10,6.27514586e-12
15,11,1.01929447e-11
15,12,1.71852524e-11
15,13,3.38439132e-11
15,14,1.78440993e-10
16,1,2.00302152e-14
16,2,7.93805386e-14
16,3,1.73676046e-13
16,4,3.44746106e-13
16,5,5.40517061e-13
16,6,8.69982907e-13
16,7,1.22630054e-12
16,8,1.75208100e-12
16,9,2.58097769e-12
16,10,3.85316063e-12
16,11,5.85003234e-12
16,12,8.45261717e-12
16,13,1.30409185e-11
16,14,3.06147723e-11
16,15,1.74684122e-10
17,1,1.61432784e-15
17,2,2.42544839e-14
17,3,4.29290836e-14
17,4,1.25633356e-13
17,5,2.02945927e-13
17,6,4.23857024e-13
17,7,7.26741578e-13
17,8,1.10413671e-12
17,9,1.68443688e-12
17,10,2.45001944e-12
17,11,3.38838530e-12
17,12,4.64054250e-12
17,13,5.74990803e-12
17,14,1.07382668e-11
17,15,2.94850625e-11
17,16,1.66244111e-10
18,1,0.00000000e+00
18,2,9.46599620e-18
18,3,1.21412405e-14
18,4,6.27445340e-14
18,5,1.64940238e-13
18,6,2.75667077e-13
18,7,4.93307002e-13
18,8,7.47720502e-13
18,9,1.14147601e-12
18,10,1.71009570e-12
18,11,2.38174620e-12
18,12,2.87668305e-12
18,13,2.69250108e-12
18,14,3.67671208e-12
18,15,8.54747996e-12
18,16,2.27089174e-11
18,17,1.61925685e-10
