# i,j,K[cm^3/s]
2,1,1.09990379e-11
3,1,7.17096096e-12
3,2,1.60724280e-11
4,1,5.23510803e-12
4,2,1.21161941e-11
4,3,1.92941555e-11
5,1,3.78783834e-12
5,2,9.38542930e-12
5,3,1.61549956e-11
5,4,2.31264136e-11
6,1,3.01592301e-12
6,2,7.63554271e-12
6,3,1.35672268e-11
6,4,2.04484520e-11
6,5,2.69898141e-11
7,1,2.37104459e-12
7,2,6.21807268e-12
7,3,1.11651161e-11
7,4,1.74449912e-11
7,5,2.46243009e-11
7,6,3.15418411e-11
8,1,1.93632076e-12
8,2,5.08214223e-12
8,3,9.23371228e-12
8,4,1.48249870e-11
8,5,2.16204231e-11
8,6,2.92899321e-11
8,7,3.74012872e-11
9,1,1.55248156e-12
9,2,4.09204169e-12
9,3,7.68836800e-12
9,4,1.25521151e-11
9,5,1.84953030e-11
9,6,2.61915470e-11
9,7,3.53413133e-11
9,8,4.47101065e-11
10,1,1.25549422e-12
10,2,3.35509461e-12
10,3,6.29502399e-12
10,4,1.04761620e-11
10,5,1.57351848e-11
10,6,2.27697396e-11
10,7,3.17847920e-11
10,8,4.24188463e-11
10,9,5.30090735e-11
11,1,9.66589214e-13
11,2,2.62843598e-12
11,3,5.00622873e-12
11,4,8.44707657e-12
11,5,1.28512167e-11
11,6,1.90685692e-11
11,7,2.70088600e-11
11,8,3.68783126e-11
11,9,4.91442956e-11
11,10,6.41189041e-11
12,1,7.54644094e-13
12,2,2.05248594e-12
12,3,4.02638011e-12
12,4,6.95836918e-12
12,5,1.08971359e-11
12,6,1.62379557e-11
12,7,2.32411067e-11
12,8,3.24496821e-11
12,9,4.33760708e-11
12,10,5.79852366e-11
12,11,7.87449490e-11
13,1,6.38187810e-13
13,2,1.91652181e-12
13,3,3.94388401e-12
13,4,6.96548108e-12
13,5,1.10276597e-11
13,6,1.68081832e-11
13,7,2.42764706e-11
13,8,3.38997445e-11
13,9,4.47088207e-11
13,10,5.91160219e-11
13,11,7.60952076e-11
13,12,6.89925041e-11
14,1,4.73353029e-13
14,2,1.61055892e-12
14,3,3.62403226e-12
14,4,6.69913928e-12
14,5,1.08441756e-11
14,6,1.65326431e-11
14,7,2.42397732e-11
14,8,3.36042089e-11
14,9,4.38344162e-11
14,10,5.75816046e-11
14,11,7.22831133e-11
14,12,6.42354018e-11
14,13,3.85137790e-11
15,1,2.85584184e-13
15,2,1.23264429e-12
15,3,2.98351918e-12
15,4,5.87097774e-12
15,5,1.02343717e-11
15,6,1.59112394e-11
15,7,2.38216028e-11
15,8,3.28349721e-11
15,9,4.34518124e-11
15,10,5.63608009e-11
15,11,7.03509331e-11
15,12,6.32572565e-11
15,13,3.83559564e-11
15,14,2.35844532e-11
16,1,1.64667276e-13
16,2,7.73048796e-13
16,3,2.19857079e-12
16,4,4.75837636e-12
16,5,8.68024848e-12
16,6,1.43626972e-11
16,7,2.22884192e-11
16,8,3.28668841e-11
16,9,4.42064930e-11
16,10,5.83404263e-11
16,11,7.10810061e-11
16,12,6.42482584e-11
16,13,4.04521846e-11
16,14,2.57063682e-11
16,15,1.60954014e-11
17,1,8.65208148e-14
17,2,4.16111619e-13
17,3,1.42615741e-12
17,4,3.55804709e-12
17,5,7.43995804e-12
17,6,1.35253155e-11
17,7,2.23648442e-11
17,8,3.25826756e-11
17,9,4.51066029e-11
17,10,5.96381255e-11
17,11,7.29287450e-11
17,12,6.60387750e-11
17,13,4.10408181e-11
17,14,2.67254238e-11
17,15,1.72092670e-11
17,16,9.82219262e-12
18,1,5.23867918e-14
18,2,1.91875046e-13
18,3,6.89961893e-13
18,4,2.00218440e-12
18,5,5.18603639e-12
18,6,1.12554961e-11
18,7,2.01489330e-11
18,8,3.29139295e-11
18,9,4.65541631e-11
18,10,6.22537468e-11
18,11,7.61576186e-11
18,12,6.89914987e-11
18,13,4.46183750e-11
18,14,2.98062277e-11
18,15,1.97995366e-11
18,16,1.14312699e-11
18,17,6.31855652e-12
