# i,E[eV]
1,-4.84454249e+00
2,-4.40961068e+00
3,-3.95896312e+00
4,-3.50260469e+00
5,-3.04432804e+00
6,-2.58720122e+00
7,-2.12793447e+00
8,-1.66754517e+00
9,-1.20845805e+00
10,-7.47742423e-01
11,-2.82438031e-01
12,1.49641202e-01
13,6.16379803e-01
14,1.07755129e+00
15,1.53989010e+00
16,1.99914834e+00
17,2.45009566e+00
18,2.89685754e+00
