# i,K[cm^3/s]
1,5.20563780e-12
2,7.62869336e-12
3,1.21318775e-11
4,1.90948758e-11
5,3.16832211e-11
6,4.94681967e-11
7,8.46403409e-11
8,1.43258906e-10
9,2.51522543e-10
10,4.59816857e-10
11,9.83911125e-10
12,2.00811072e-09
13,1.79268246e-09
14,1.84646332e-09
15,2.09984839e-09
16,2.35417338e-09
17,2.67094060e-09
18,3.35177969e-09
